2018-11-20 14:30:27 (7500760223358) INFO  - START: Middleware listening on address 10.0.0.4:8888.
2018-11-20 14:31:52 (7586074493317) STATS -  5.00, 1481, 53, 39.340930, 20.231977, 59.842740, 0.000000, 59.842740, 0.000000, 0, 7406, 0, 0.00, 0.00, 0
2018-11-20 14:31:52 (7586200843632) STATS - 10.00, 1563, 53, 38.145880, 20.411799, 58.606073, 0.000000, 58.606073, 0.000000, 0, 7815, 0, 0.00, 0.00, 0
2018-11-20 14:31:52 (7586296862072) STATS - 15.00, 1553, 53, 38.001549, 20.531446, 58.588320, 0.000000, 58.588320, 0.000000, 0, 7769, 0, 0.00, 0.00, 0
2018-11-20 14:31:52 (7586327179947) STATS - 20.00, 1523, 53, 38.883092, 20.963634, 59.907404, 0.000000, 59.907404, 0.000000, 0, 7616, 0, 0.00, 0.00, 0
2018-11-20 14:31:52 (7586356444220) STATS - 25.00, 1524, 53, 38.970329, 20.941295, 59.960056, 0.000000, 59.960056, 0.000000, 0, 7624, 0, 0.00, 0.00, 0
2018-11-20 14:31:52 (7586384882491) STATS - 30.00, 1534, 53, 38.603862, 20.781762, 59.456070, 0.000000, 59.456070, 0.000000, 0, 7674, 0, 0.00, 0.00, 0
2018-11-20 14:31:52 (7586406064844) STATS - 35.00, 1514, 54, 39.385271, 21.030692, 60.488797, 0.000000, 60.488797, 0.000000, 0, 7571, 0, 0.00, 0.00, 0
2018-11-20 14:31:52 (7586426495995) STATS - 40.00, 1510, 54, 39.245289, 21.119483, 60.422422, 0.000000, 60.422422, 0.000000, 0, 7551, 0, 0.00, 0.00, 0
2018-11-20 14:31:53 (7586445860143) STATS - 45.00, 1534, 53, 38.689291, 20.845171, 59.590981, 0.000000, 59.590981, 0.000000, 0, 7671, 0, 0.00, 0.00, 0
2018-11-20 14:31:53 (7586456762371) STATS - 50.00, 1533, 53, 38.483166, 20.790841, 59.329622, 0.000000, 59.329622, 0.000000, 0, 7666, 0, 0.00, 0.00, 0
2018-11-20 14:31:53 (7586474370715) STATS - 55.00, 1501, 53, 39.464933, 21.269632, 60.780684, 0.000000, 60.780684, 0.000000, 0, 7509, 0, 0.00, 0.00, 0
2018-11-20 14:31:53 (7586485097841) STATS - 60.00, 1492, 54, 39.683370, 21.261074, 61.019414, 0.000000, 61.019414, 0.000000, 0, 7461, 0, 0.00, 0.00, 0
2018-11-20 14:31:53 (7586495943968) STATS - 65.00, 1506, 53, 39.346681, 21.274658, 60.678682, 0.000000, 60.678682, 0.000000, 0, 7534, 0, 0.00, 0.00, 0
2018-11-20 14:31:53 (7586506658895) STATS - 70.00, 1518, 53, 38.987421, 21.015349, 60.058613, 0.000000, 60.058613, 0.000000, 0, 7592, 0, 0.00, 0.00, 0
2018-11-20 14:31:53 (7586514855516) STATS - 70.00, 41, 14, 21.637049, 19.672852, 41.348844, 0.000000, 41.348844, 0.000000, 0, 207, 0, 0.00, 0.00, 0
2018-11-20 14:31:53 (7586772156158) STATS - Type, Interval, Responses
2018-11-20 14:31:53 (7586943018284) STATS - GET, 0.1, 0
2018-11-20 14:31:53 (7586943206884) STATS - GET, 0.2, 0
2018-11-20 14:31:53 (7586943302985) STATS - GET, 0.3, 0
2018-11-20 14:31:53 (7586943400485) STATS - GET, 0.4, 0
2018-11-20 14:31:53 (7586943494685) STATS - GET, 0.5, 0
2018-11-20 14:31:53 (7586943631085) STATS - GET, 0.6, 0
2018-11-20 14:31:53 (7586943723586) STATS - GET, 0.7, 0
2018-11-20 14:31:53 (7586943816486) STATS - GET, 0.8, 0
2018-11-20 14:31:53 (7586943909986) STATS - GET, 0.9, 0
2018-11-20 14:31:53 (7586944032386) STATS - GET, 1.0, 0
2018-11-20 14:31:53 (7586944128987) STATS - GET, 1.1, 0
2018-11-20 14:31:53 (7586944253387) STATS - GET, 1.2, 0
2018-11-20 14:31:53 (7586944386387) STATS - GET, 1.3, 0
2018-11-20 14:31:53 (7586944480988) STATS - GET, 1.4, 0
2018-11-20 14:31:53 (7586944573288) STATS - GET, 1.5, 0
2018-11-20 14:31:53 (7586944688988) STATS - GET, 1.6, 1
2018-11-20 14:31:53 (7586944803588) STATS - GET, 1.7, 0
2018-11-20 14:31:53 (7586944893589) STATS - GET, 1.8, 0
2018-11-20 14:31:53 (7586945002889) STATS - GET, 1.9, 0
2018-11-20 14:31:53 (7586945091289) STATS - GET, 2.0, 0
2018-11-20 14:31:53 (7586945199789) STATS - GET, 2.1, 1
2018-11-20 14:31:53 (7586945306190) STATS - GET, 2.2, 0
2018-11-20 14:31:53 (7586945396090) STATS - GET, 2.3, 0
2018-11-20 14:31:53 (7586945484690) STATS - GET, 2.4, 0
2018-11-20 14:31:53 (7586952695208) STATS - GET, 2.5, 1
2018-11-20 14:31:53 (7586952856008) STATS - GET, 2.6, 0
2018-11-20 14:31:53 (7586952958109) STATS - GET, 2.7, 0
2018-11-20 14:31:53 (7586953049609) STATS - GET, 2.8, 0
2018-11-20 14:31:53 (7586953151709) STATS - GET, 2.9, 0
2018-11-20 14:31:53 (7586953271409) STATS - GET, 3.0, 0
2018-11-20 14:31:53 (7586953363110) STATS - GET, 3.1, 1
2018-11-20 14:31:53 (7586953454610) STATS - GET, 3.2, 1
2018-11-20 14:31:53 (7586953558910) STATS - GET, 3.3, 0
2018-11-20 14:31:53 (7586953669510) STATS - GET, 3.4, 0
2018-11-20 14:31:53 (7586953806011) STATS - GET, 3.5, 0
2018-11-20 14:31:53 (7586953894011) STATS - GET, 3.6, 0
2018-11-20 14:31:53 (7586954006611) STATS - GET, 3.7, 1
2018-11-20 14:31:53 (7586954093412) STATS - GET, 3.8, 1
2018-11-20 14:31:53 (7586954189712) STATS - GET, 3.9, 0
2018-11-20 14:31:53 (7586954276212) STATS - GET, 4.0, 1
2018-11-20 14:31:53 (7586954372212) STATS - GET, 4.1, 0
2018-11-20 14:31:53 (7586954461112) STATS - GET, 4.2, 2
2018-11-20 14:31:53 (7586954553013) STATS - GET, 4.3, 0
2018-11-20 14:31:53 (7586954663113) STATS - GET, 4.4, 0
2018-11-20 14:31:53 (7586954758413) STATS - GET, 4.5, 0
2018-11-20 14:31:53 (7586954847813) STATS - GET, 4.6, 0
2018-11-20 14:31:53 (7586954977114) STATS - GET, 4.7, 1
2018-11-20 14:31:53 (7586955080314) STATS - GET, 4.8, 1
2018-11-20 14:31:53 (7586962281232) STATS - GET, 4.9, 0
2018-11-20 14:31:53 (7586962365732) STATS - GET, 5.0, 0
2018-11-20 14:31:53 (7586962450732) STATS - GET, 5.1, 0
2018-11-20 14:31:53 (7586962546233) STATS - GET, 5.2, 1
2018-11-20 14:31:53 (7586962629633) STATS - GET, 5.3, 0
2018-11-20 14:31:53 (7586962711533) STATS - GET, 5.4, 0
2018-11-20 14:31:53 (7586962792933) STATS - GET, 5.5, 1
2018-11-20 14:31:53 (7586962874833) STATS - GET, 5.6, 0
2018-11-20 14:31:53 (7586962956334) STATS - GET, 5.7, 0
2018-11-20 14:31:53 (7586963038534) STATS - GET, 5.8, 2
2018-11-20 14:31:53 (7586963121134) STATS - GET, 5.9, 3
2018-11-20 14:31:53 (7586963229434) STATS - GET, 6.0, 2
2018-11-20 14:31:53 (7586963317235) STATS - GET, 6.1, 0
2018-11-20 14:31:53 (7586963401435) STATS - GET, 6.2, 0
2018-11-20 14:31:53 (7586963483435) STATS - GET, 6.3, 1
2018-11-20 14:31:53 (7586963564535) STATS - GET, 6.4, 2
2018-11-20 14:31:53 (7586963646335) STATS - GET, 6.5, 0
2018-11-20 14:31:53 (7586963729136) STATS - GET, 6.6, 0
2018-11-20 14:31:53 (7586963811136) STATS - GET, 6.7, 0
2018-11-20 14:31:53 (7586963893936) STATS - GET, 6.8, 0
2018-11-20 14:31:53 (7586963978136) STATS - GET, 6.9, 3
2018-11-20 14:31:53 (7586964080836) STATS - GET, 7.0, 1
2018-11-20 14:31:53 (7586964164837) STATS - GET, 7.1, 3
2018-11-20 14:31:53 (7586964246837) STATS - GET, 7.2, 2
2018-11-20 14:31:53 (7586964329637) STATS - GET, 7.3, 0
2018-11-20 14:31:53 (7586964429937) STATS - GET, 7.4, 1
2018-11-20 14:31:53 (7586964514038) STATS - GET, 7.5, 0
2018-11-20 14:31:53 (7586964607938) STATS - GET, 7.6, 4
2018-11-20 14:31:53 (7586964716438) STATS - GET, 7.7, 1
2018-11-20 14:31:53 (7586964805738) STATS - GET, 7.8, 2
2018-11-20 14:31:53 (7586964909239) STATS - GET, 7.9, 0
2018-11-20 14:31:53 (7586972062456) STATS - GET, 8.0, 1
2018-11-20 14:31:53 (7586972183657) STATS - GET, 8.1, 1
2018-11-20 14:31:53 (7586972261357) STATS - GET, 8.2, 0
2018-11-20 14:31:53 (7586972337057) STATS - GET, 8.3, 3
2018-11-20 14:31:53 (7586972413057) STATS - GET, 8.4, 0
2018-11-20 14:31:53 (7586972488957) STATS - GET, 8.5, 2
2018-11-20 14:31:53 (7586972569958) STATS - GET, 8.6, 0
2018-11-20 14:31:53 (7586972688258) STATS - GET, 8.7, 1
2018-11-20 14:31:53 (7586972767958) STATS - GET, 8.8, 1
2018-11-20 14:31:53 (7586972845158) STATS - GET, 8.9, 1
2018-11-20 14:31:53 (7586972918259) STATS - GET, 9.0, 1
2018-11-20 14:31:53 (7586972993559) STATS - GET, 9.1, 0
2018-11-20 14:31:53 (7586973069459) STATS - GET, 9.2, 1
2018-11-20 14:31:53 (7586973172459) STATS - GET, 9.3, 1
2018-11-20 14:31:53 (7586973251759) STATS - GET, 9.4, 2
2018-11-20 14:31:53 (7586973333560) STATS - GET, 9.5, 2
2018-11-20 14:31:53 (7586973412160) STATS - GET, 9.6, 3
2018-11-20 14:31:53 (7586973491060) STATS - GET, 9.7, 7
2018-11-20 14:31:53 (7586973566660) STATS - GET, 9.8, 6
2018-11-20 14:31:53 (7586973698960) STATS - GET, 9.9, 3
2018-11-20 14:31:53 (7586973789661) STATS - GET, 10.0, 5
2018-11-20 14:31:53 (7586973870961) STATS - GET, 10.1, 2
2018-11-20 14:31:53 (7586973950561) STATS - GET, 10.2, 2
2018-11-20 14:31:53 (7586974028661) STATS - GET, 10.3, 1
2018-11-20 14:31:53 (7586974193962) STATS - GET, 10.4, 2
2018-11-20 14:31:53 (7586974284362) STATS - GET, 10.5, 2
2018-11-20 14:31:53 (7586974362062) STATS - GET, 10.6, 1
2018-11-20 14:31:53 (7586974451862) STATS - GET, 10.7, 0
2018-11-20 14:31:53 (7586974546063) STATS - GET, 10.8, 2
2018-11-20 14:31:53 (7586974649863) STATS - GET, 10.9, 2
2018-11-20 14:31:53 (7586974747263) STATS - GET, 11.0, 2
2018-11-20 14:31:53 (7586981933481) STATS - GET, 11.1, 1
2018-11-20 14:31:53 (7586982040981) STATS - GET, 11.2, 3
2018-11-20 14:31:53 (7586982126181) STATS - GET, 11.3, 1
2018-11-20 14:31:53 (7586982203482) STATS - GET, 11.4, 0
2018-11-20 14:31:53 (7586982304982) STATS - GET, 11.5, 2
2018-11-20 14:31:53 (7586982423182) STATS - GET, 11.6, 1
