Elapsed Time, AVG Throughput, AVG Queue Size, AVG Waiting Time, AVG Service Time, AVG Response Time, AVG SET Response Time, AVG GET Response Time, AVG MULTI-GET Response Time, #SETS, #GETS, #MULTIGETS, GET MissRatio, MULTI-GET MissRatio, AVG MULTI-GET Size
 5.00, 5504, 38, 7.367440, 4.844067, 12.414478, 12.414478, 0.000000, 0.000000, 27522, 0, 0, 0.00, 0.00, 0
10.00, 6493, 39, 6.364838, 4.359205, 10.921535, 10.921535, 0.000000, 0.000000, 32469, 0, 0, 0.00, 0.00, 0
15.00, 6648, 41, 6.415145, 4.337426, 10.901444, 10.901444, 0.000000, 0.000000, 33241, 0, 0, 0.00, 0.00, 0
20.00, 6530, 42, 6.821792, 4.454812, 11.413360, 11.413360, 0.000000, 0.000000, 32650, 0, 0, 0.00, 0.00, 0
25.00, 6155, 38, 6.851294, 4.670446, 11.683216, 11.683216, 0.000000, 0.000000, 30779, 0, 0, 0.00, 0.00, 0
30.00, 6535, 40, 6.462380, 4.403458, 11.024408, 11.024408, 0.000000, 0.000000, 32676, 0, 0, 0.00, 0.00, 0
35.00, 6061, 41, 7.241130, 4.711445, 12.114133, 12.114133, 0.000000, 0.000000, 30309, 0, 0, 0.00, 0.00, 0
40.00, 6488, 39, 6.492784, 4.486331, 11.138421, 11.138421, 0.000000, 0.000000, 32444, 0, 0, 0.00, 0.00, 0
45.00, 6688, 40, 6.264999, 4.340520, 10.744826, 10.744826, 0.000000, 0.000000, 33442, 0, 0, 0.00, 0.00, 0
50.00, 6580, 43, 6.835625, 4.432354, 11.385769, 11.385769, 0.000000, 0.000000, 32900, 0, 0, 0.00, 0.00, 0
55.00, 6602, 42, 6.674296, 4.387382, 11.200485, 11.200485, 0.000000, 0.000000, 33014, 0, 0, 0.00, 0.00, 0
60.00, 6365, 39, 6.480167, 4.542121, 11.170098, 11.170098, 0.000000, 0.000000, 31829, 0, 0, 0.00, 0.00, 0
65.00, 6435, 39, 6.366504, 4.486902, 11.006450, 11.006450, 0.000000, 0.000000, 32176, 0, 0, 0.00, 0.00, 0
70.00, 6529, 41, 6.694142, 4.456242, 11.300797, 11.300797, 0.000000, 0.000000, 32645, 0, 0, 0.00, 0.00, 0
70.00, 233, 10, 2.327580, 3.477133, 6.147974, 6.147974, 0.000000, 0.000000, 1169, 0, 0, 0.00, 0.00, 0
Type, Interval, Responses
SET, 0.1, 0
SET, 0.2, 0
SET, 0.3, 0
SET, 0.4, 0
SET, 0.5, 1
SET, 0.6, 17
SET, 0.7, 62
SET, 0.8, 117
SET, 0.9, 178
SET, 1.0, 205
SET, 1.1, 212
SET, 1.2, 269
SET, 1.3, 227
SET, 1.4, 286
SET, 1.5, 302
SET, 1.6, 278
SET, 1.7, 271
SET, 1.8, 305
SET, 1.9, 311
SET, 2.0, 283
SET, 2.1, 324
SET, 2.2, 328
SET, 2.3, 328
SET, 2.4, 344
SET, 2.5, 280
SET, 2.6, 333
SET, 2.7, 325
SET, 2.8, 352
SET, 2.9, 375
SET, 3.0, 374
SET, 3.1, 441
SET, 3.2, 405
SET, 3.3, 466
SET, 3.4, 487
SET, 3.5, 475
SET, 3.6, 464
SET, 3.7, 592
SET, 3.8, 582
SET, 3.9, 600
SET, 4.0, 696
SET, 4.1, 718
SET, 4.2, 784
SET, 4.3, 788
SET, 4.4, 858
SET, 4.5, 883
SET, 4.6, 924
SET, 4.7, 942
SET, 4.8, 1027
SET, 4.9, 1144
SET, 5.0, 1186
SET, 5.1, 1268
SET, 5.2, 1260
SET, 5.3, 1377
SET, 5.4, 1394
SET, 5.5, 1506
SET, 5.6, 1599
SET, 5.7, 1593
SET, 5.8, 1639
SET, 5.9, 1849
SET, 6.0, 1985
SET, 6.1, 2031
SET, 6.2, 2108
SET, 6.3, 2183
SET, 6.4, 2285
SET, 6.5, 2355
SET, 6.6, 2452
SET, 6.7, 2678
SET, 6.8, 2759
SET, 6.9, 2878
SET, 7.0, 2958
SET, 7.1, 2963
SET, 7.2, 3104
SET, 7.3, 3179
SET, 7.4, 3314
SET, 7.5, 3307
SET, 7.6, 3459
SET, 7.7, 3518
SET, 7.8, 3776
SET, 7.9, 3693
SET, 8.0, 3823
SET, 8.1, 3987
SET, 8.2, 4067
SET, 8.3, 4047
SET, 8.4, 4223
SET, 8.5, 4230
SET, 8.6, 4125
SET, 8.7, 4206
SET, 8.8, 4288
SET, 8.9, 4437
SET, 9.0, 4559
SET, 9.1, 4525
SET, 9.2, 4681
SET, 9.3, 4794
SET, 9.4, 4884
SET, 9.5, 4755
SET, 9.6, 5092
SET, 9.7, 4953
SET, 9.8, 5075
SET, 9.9, 4998
SET, 10.0, 5056
SET, 10.1, 4866
SET, 10.2, 4911
SET, 10.3, 4886
SET, 10.4, 5038
SET, 10.5, 5036
SET, 10.6, 4830
SET, 10.7, 5065
SET, 10.8, 4926
SET, 10.9, 4986
SET, 11.0, 4858
SET, 11.1, 4937
SET, 11.2, 4892
SET, 11.3, 4947
SET, 11.4, 4893
SET, 11.5, 5061
SET, 11.6, 5032
SET, 11.7, 4983
SET, 11.8, 4960
SET, 11.9, 4838
SET, 12.0, 4723
SET, 12.1, 4558
SET, 12.2, 4509
SET, 12.3, 4504
SET, 12.4, 4453
SET, 12.5, 4419
SET, 12.6, 4353
SET, 12.7, 4295
SET, 12.8, 4243
SET, 12.9, 4096
SET, 13.0, 4097
SET, 13.1, 4013
SET, 13.2, 3917
SET, 13.3, 3903
SET, 13.4, 3627
SET, 13.5, 3531
SET, 13.6, 3588
SET, 13.7, 3351
SET, 13.8, 3224
SET, 13.9, 3158
SET, 14.0, 3095
SET, 14.1, 2895
SET, 14.2, 2985
SET, 14.3, 2665
SET, 14.4, 2667
SET, 14.5, 2534
SET, 14.6, 2510
SET, 14.7, 2392
SET, 14.8, 2265
SET, 14.9, 2132
SET, 15.0, 2121
SET, 15.1, 2010
SET, 15.2, 1950
SET, 15.3, 1834
SET, 15.4, 1691
SET, 15.5, 1599
SET, 15.6, 1605
SET, 15.7, 1510
SET, 15.8, 1430
SET, 15.9, 1334
SET, 16.0, 1285
SET, 16.1, 1258
SET, 16.2, 1190
SET, 16.3, 1231
SET, 16.4, 1159
SET, 16.5, 1161
SET, 16.6, 1059
SET, 16.7, 1065
SET, 16.8, 977
SET, 16.9, 898
SET, 17.0, 890
SET, 17.1, 927
SET, 17.2, 962
SET, 17.3, 872
SET, 17.4, 853
SET, 17.5, 818
SET, 17.6, 778
SET, 17.7, 721
SET, 17.8, 766
SET, 17.9, 668
SET, 18.0, 719
SET, 18.1, 671
SET, 18.2, 693
SET, 18.3, 641
SET, 18.4, 657
SET, 18.5, 605
SET, 18.6, 652
SET, 18.7, 557
SET, 18.8, 544
SET, 18.9, 574
SET, 19.0, 560
SET, 19.1, 569
SET, 19.2, 504
SET, 19.3, 463
SET, 19.4, 470
SET, 19.5, 431
SET, 19.6, 379
SET, 19.7, 438
SET, 19.8, 400
SET, 19.9, 395
SET, 20.0, 386
SET, 20.1, 375
SET, 20.2, 331
SET, 20.3, 331
SET, 20.4, 290
SET, 20.5, 295
SET, 20.6, 342
SET, 20.7, 311
SET, 20.8, 299
SET, 20.9, 254
SET, 21.0, 288
SET, 21.1, 250
SET, 21.2, 257
SET, 21.3, 243
SET, 21.4, 236
SET, 21.5, 228
SET, 21.6, 228
SET, 21.7, 209
SET, 21.8, 204
SET, 21.9, 222
SET, 22.0, 177
SET, 22.1, 175
SET, 22.2, 178
SET, 22.3, 173
SET, 22.4, 167
SET, 22.5, 177
SET, 22.6, 140
SET, 22.7, 153
SET, 22.8, 147
SET, 22.9, 127
SET, 23.0, 160
SET, 23.1, 140
