ratios,wts,vcs,runs,mws,TP,RT
1:0,8,32,1,1,4049.7571428571428,41.38108825683594
1:0,8,32,2,1,3896.5,38.4390983581543
1:0,8,32,3,1,3920.5,39.44400405883789
1:0,32,32,1,1,5648.142857142857,21.180173873901367
1:0,32,32,2,1,5732.714285714285,23.8240966796875
1:0,32,32,3,1,5879.571428571428,24.423564910888672
0:1,8,32,1,1,1331.7714285714285,127.41653442382812
0:1,8,32,2,1,1321.2857142857142,128.73194885253906
0:1,8,32,3,1,1359.2714285714285,124.85092163085938
0:1,32,32,1,1,1506.5714285714287,95.72725677490234
0:1,32,32,2,1,1490.4142857142858,97.11200714111328
0:1,32,32,3,1,1494.4714285714285,96.3316650390625
