Elapsed Time, AVG Throughput, AVG Queue Size, AVG Waiting Time, AVG Service Time, AVG Response Time, AVG SET Response Time, AVG GET Response Time, AVG MULTI-GET Response Time, #SETS, #GETS, #MULTIGETS, GET MissRatio, MULTI-GET MissRatio, AVG MULTI-GET Size
 5.00, 5248, 118, 21.620470, 4.942584, 26.843712, 26.843712, 0.000000, 0.000000, 26243, 0, 0, 0.00, 0.00, 0
10.00, 6517, 120, 18.872283, 4.416352, 23.463436, 23.463436, 0.000000, 0.000000, 32586, 0, 0, 0.00, 0.00, 0
15.00, 6608, 128, 19.780733, 4.332975, 24.286108, 24.286108, 0.000000, 0.000000, 33040, 0, 0, 0.00, 0.00, 0
20.00, 6552, 128, 19.898622, 4.404729, 24.442772, 24.442772, 0.000000, 0.000000, 32764, 0, 0, 0.00, 0.00, 0
25.00, 6615, 114, 17.399398, 4.159817, 21.798935, 21.798935, 0.000000, 0.000000, 33076, 0, 0, 0.00, 0.00, 0
30.00, 6637, 121, 18.597985, 4.291292, 23.110106, 23.110106, 0.000000, 0.000000, 33189, 0, 0, 0.00, 0.00, 0
35.00, 6522, 124, 18.931307, 4.257453, 23.346235, 23.346235, 0.000000, 0.000000, 32610, 0, 0, 0.00, 0.00, 0
40.00, 4629, 122, 29.034671, 6.401082, 35.633959, 35.633959, 0.000000, 0.000000, 23146, 0, 0, 0.00, 0.00, 0
45.00, 6496, 125, 19.596659, 4.391000, 24.200933, 24.200933, 0.000000, 0.000000, 32480, 0, 0, 0.00, 0.00, 0
50.00, 6409, 118, 18.844786, 4.462791, 23.515876, 23.515876, 0.000000, 0.000000, 32047, 0, 0, 0.00, 0.00, 0
55.00, 6621, 124, 18.989252, 4.327501, 23.505775, 23.505775, 0.000000, 0.000000, 33105, 0, 0, 0.00, 0.00, 0
60.00, 6062, 126, 19.198254, 4.247986, 23.663501, 23.663501, 0.000000, 0.000000, 30312, 0, 0, 0.00, 0.00, 0
65.00, 6154, 121, 18.450435, 4.240012, 22.874240, 22.874240, 0.000000, 0.000000, 30772, 0, 0, 0.00, 0.00, 0
70.00, 6488, 121, 19.037600, 4.400195, 23.664480, 23.664480, 0.000000, 0.000000, 32443, 0, 0, 0.00, 0.00, 0
71.00, 1250, 16, 3.241990, 3.523397, 6.916446, 6.916446, 0.000000, 0.000000, 6250, 0, 0, 0.00, 0.00, 0
Type, Interval, Responses
SET, 0.1, 0
SET, 0.2, 0
SET, 0.3, 0
SET, 0.4, 0
SET, 0.5, 0
SET, 0.6, 6
SET, 0.7, 32
SET, 0.8, 91
SET, 0.9, 151
SET, 1.0, 208
SET, 1.1, 188
SET, 1.2, 152
SET, 1.3, 206
SET, 1.4, 205
SET, 1.5, 205
SET, 1.6, 240
SET, 1.7, 213
SET, 1.8, 221
SET, 1.9, 236
SET, 2.0, 168
SET, 2.1, 217
SET, 2.2, 171
SET, 2.3, 170
SET, 2.4, 183
SET, 2.5, 160
SET, 2.6, 161
SET, 2.7, 149
SET, 2.8, 139
SET, 2.9, 152
SET, 3.0, 149
SET, 3.1, 133
SET, 3.2, 111
SET, 3.3, 108
SET, 3.4, 98
SET, 3.5, 102
SET, 3.6, 120
SET, 3.7, 98
SET, 3.8, 82
SET, 3.9, 89
SET, 4.0, 115
SET, 4.1, 104
SET, 4.2, 102
SET, 4.3, 96
SET, 4.4, 105
SET, 4.5, 97
SET, 4.6, 99
SET, 4.7, 112
SET, 4.8, 97
SET, 4.9, 84
SET, 5.0, 99
SET, 5.1, 112
SET, 5.2, 89
SET, 5.3, 100
SET, 5.4, 106
SET, 5.5, 78
SET, 5.6, 108
SET, 5.7, 120
SET, 5.8, 112
SET, 5.9, 129
SET, 6.0, 150
SET, 6.1, 147
SET, 6.2, 134
SET, 6.3, 135
SET, 6.4, 151
SET, 6.5, 134
SET, 6.6, 166
SET, 6.7, 167
SET, 6.8, 159
SET, 6.9, 170
SET, 7.0, 171
SET, 7.1, 170
SET, 7.2, 173
SET, 7.3, 171
SET, 7.4, 163
SET, 7.5, 193
SET, 7.6, 214
SET, 7.7, 215
SET, 7.8, 165
SET, 7.9, 169
SET, 8.0, 215
SET, 8.1, 172
SET, 8.2, 213
SET, 8.3, 212
SET, 8.4, 207
SET, 8.5, 179
SET, 8.6, 213
SET, 8.7, 179
SET, 8.8, 179
SET, 8.9, 205
SET, 9.0, 172
SET, 9.1, 188
SET, 9.2, 201
SET, 9.3, 199
SET, 9.4, 234
SET, 9.5, 221
SET, 9.6, 217
SET, 9.7, 256
SET, 9.8, 224
SET, 9.9, 241
SET, 10.0, 261
SET, 10.1, 243
SET, 10.2, 217
SET, 10.3, 217
SET, 10.4, 224
SET, 10.5, 230
SET, 10.6, 227
SET, 10.7, 212
SET, 10.8, 263
SET, 10.9, 260
SET, 11.0, 255
SET, 11.1, 261
SET, 11.2, 290
SET, 11.3, 281
SET, 11.4, 280
SET, 11.5, 317
SET, 11.6, 338
SET, 11.7, 309
SET, 11.8, 310
SET, 11.9, 330
SET, 12.0, 313
SET, 12.1, 358
SET, 12.2, 352
SET, 12.3, 400
SET, 12.4, 371
SET, 12.5, 368
SET, 12.6, 383
SET, 12.7, 408
SET, 12.8, 402
SET, 12.9, 438
SET, 13.0, 454
SET, 13.1, 470
SET, 13.2, 476
SET, 13.3, 524
SET, 13.4, 538
SET, 13.5, 524
SET, 13.6, 531
SET, 13.7, 504
SET, 13.8, 518
SET, 13.9, 596
SET, 14.0, 559
SET, 14.1, 612
SET, 14.2, 688
SET, 14.3, 724
SET, 14.4, 719
SET, 14.5, 761
SET, 14.6, 772
SET, 14.7, 828
SET, 14.8, 832
SET, 14.9, 918
SET, 15.0, 886
SET, 15.1, 950
SET, 15.2, 970
SET, 15.3, 962
SET, 15.4, 1069
SET, 15.5, 1151
SET, 15.6, 1106
SET, 15.7, 1105
SET, 15.8, 1200
SET, 15.9, 1191
SET, 16.0, 1225
SET, 16.1, 1347
SET, 16.2, 1272
SET, 16.3, 1368
SET, 16.4, 1423
SET, 16.5, 1497
SET, 16.6, 1529
SET, 16.7, 1632
SET, 16.8, 1548
SET, 16.9, 1564
SET, 17.0, 1657
SET, 17.1, 1827
SET, 17.2, 1812
SET, 17.3, 1851
SET, 17.4, 1916
SET, 17.5, 2007
SET, 17.6, 2003
SET, 17.7, 1961
SET, 17.8, 2016
SET, 17.9, 2047
SET, 18.0, 2093
SET, 18.1, 2108
SET, 18.2, 2114
SET, 18.3, 2167
SET, 18.4, 2238
SET, 18.5, 2204
SET, 18.6, 2201
SET, 18.7, 2282
SET, 18.8, 2418
SET, 18.9, 2454
SET, 19.0, 2534
SET, 19.1, 2467
SET, 19.2, 2448
SET, 19.3, 2393
SET, 19.4, 2455
SET, 19.5, 2525
SET, 19.6, 2532
SET, 19.7, 2536
SET, 19.8, 2690
SET, 19.9, 2658
SET, 20.0, 2707
SET, 20.1, 2671
SET, 20.2, 2705
SET, 20.3, 2764
SET, 20.4, 2747
SET, 20.5, 2743
SET, 20.6, 2884
SET, 20.7, 2926
SET, 20.8, 2873
SET, 20.9, 2875
SET, 21.0, 2885
SET, 21.1, 3099
SET, 21.2, 2950
SET, 21.3, 2972
SET, 21.4, 3084
SET, 21.5, 3045
SET, 21.6, 3006
SET, 21.7, 3017
SET, 21.8, 3036
SET, 21.9, 3166
SET, 22.0, 3082
SET, 22.1, 3166
SET, 22.2, 3151
SET, 22.3, 3129
SET, 22.4, 3167
SET, 22.5, 3107
SET, 22.6, 3183
SET, 22.7, 3202
SET, 22.8, 3162
SET, 22.9, 3258
SET, 23.0, 3197
SET, 23.1, 3129
SET, 23.2, 3159
SET, 23.3, 3129
SET, 23.4, 3093
SET, 23.5, 3130
