2018-11-20 14:40:20 (3096158428105) INFO  - START: Middleware listening on address 10.0.0.11:8888.
2018-11-20 14:41:45 (3181554802338) STATS -  5.00, 3782, 76, 19.699389, 1.788661, 21.577400, 21.577400, 0.000000, 0.000000, 18913, 0, 0, 0.00, 0.00, 0
2018-11-20 14:41:45 (3181784475349) STATS - 10.00, 4961, 76, 15.346561, 1.415572, 16.840253, 16.840253, 0.000000, 0.000000, 24807, 0, 0, 0.00, 0.00, 0
2018-11-20 14:41:46 (3181892386054) STATS - 15.00, 4948, 74, 15.007304, 1.415450, 16.496248, 16.496248, 0.000000, 0.000000, 24742, 0, 0, 0.00, 0.00, 0
2018-11-20 14:41:46 (3181981640258) STATS - 20.00, 4937, 75, 15.173762, 1.424394, 16.667906, 16.667906, 0.000000, 0.000000, 24688, 0, 0, 0.00, 0.00, 0
2018-11-20 14:41:46 (3182060573962) STATS - 25.00, 4864, 75, 15.473078, 1.443968, 16.998714, 16.998714, 0.000000, 0.000000, 24324, 0, 0, 0.00, 0.00, 0
2018-11-20 14:41:46 (3182138834466) STATS - 30.00, 4904, 74, 15.245671, 1.443164, 16.756699, 16.756699, 0.000000, 0.000000, 24520, 0, 0, 0.00, 0.00, 0
2018-11-20 14:41:46 (3182208454869) STATS - 35.00, 4848, 75, 15.432370, 1.442990, 16.952851, 16.952851, 0.000000, 0.000000, 24243, 0, 0, 0.00, 0.00, 0
2018-11-20 14:41:46 (3182276783172) STATS - 40.00, 4755, 75, 15.771275, 1.499915, 17.339126, 17.339126, 0.000000, 0.000000, 23777, 0, 0, 0.00, 0.00, 0
2018-11-20 14:41:46 (3182336406375) STATS - 45.00, 4787, 75, 15.700791, 1.486523, 17.259812, 17.259812, 0.000000, 0.000000, 23939, 0, 0, 0.00, 0.00, 0
2018-11-20 14:41:46 (3182386572678) STATS - 50.00, 4865, 76, 15.547814, 1.451613, 17.074381, 17.074381, 0.000000, 0.000000, 24329, 0, 0, 0.00, 0.00, 0
2018-11-20 14:41:46 (3182434343080) STATS - 55.00, 4989, 76, 15.169858, 1.400100, 16.648957, 16.648957, 0.000000, 0.000000, 24945, 0, 0, 0.00, 0.00, 0
2018-11-20 14:41:46 (3182472674582) STATS - 60.00, 4715, 75, 15.949833, 1.510629, 17.531019, 17.531019, 0.000000, 0.000000, 23578, 0, 0, 0.00, 0.00, 0
2018-11-20 14:41:46 (3182501902683) STATS - 65.00, 4832, 75, 15.525556, 1.460154, 17.058646, 17.058646, 0.000000, 0.000000, 24162, 0, 0, 0.00, 0.00, 0
2018-11-20 14:41:46 (3182523410684) STATS - 70.00, 4958, 75, 15.211204, 1.429879, 16.706491, 16.706491, 0.000000, 0.000000, 24790, 0, 0, 0.00, 0.00, 0
2018-11-20 14:41:46 (3182532797385) STATS - 71.00, 395, 13, 3.416856, 1.669748, 5.172362, 5.172362, 0.000000, 0.000000, 1977, 0, 0, 0.00, 0.00, 0
2018-11-20 14:41:47 (3182958298305) STATS - Type, Interval, Responses
2018-11-20 14:41:47 (3183363644425) STATS - SET, 0.1, 0
2018-11-20 14:41:47 (3183363872125) STATS - SET, 0.2, 0
2018-11-20 14:41:47 (3183363964525) STATS - SET, 0.3, 0
2018-11-20 14:41:47 (3183364074825) STATS - SET, 0.4, 0
2018-11-20 14:41:47 (3183364193025) STATS - SET, 0.5, 0
2018-11-20 14:41:47 (3183364339825) STATS - SET, 0.6, 14
2018-11-20 14:41:47 (3183364434925) STATS - SET, 0.7, 54
2018-11-20 14:41:47 (3183364530025) STATS - SET, 0.8, 90
2018-11-20 14:41:47 (3183364637225) STATS - SET, 0.9, 79
2018-11-20 14:41:47 (3183364752225) STATS - SET, 1.0, 57
2018-11-20 14:41:47 (3183364852025) STATS - SET, 1.1, 45
2018-11-20 14:41:47 (3183364955625) STATS - SET, 1.2, 28
2018-11-20 14:41:47 (3183372368325) STATS - SET, 1.3, 30
2018-11-20 14:41:47 (3183372576825) STATS - SET, 1.4, 24
2018-11-20 14:41:47 (3183372666725) STATS - SET, 1.5, 28
2018-11-20 14:41:47 (3183372837625) STATS - SET, 1.6, 22
2018-11-20 14:41:47 (3183372950425) STATS - SET, 1.7, 21
2018-11-20 14:41:47 (3183373044925) STATS - SET, 1.8, 19
2018-11-20 14:41:47 (3183373162325) STATS - SET, 1.9, 19
2018-11-20 14:41:47 (3183373253325) STATS - SET, 2.0, 14
2018-11-20 14:41:47 (3183373347025) STATS - SET, 2.1, 9
2018-11-20 14:41:47 (3183373463725) STATS - SET, 2.2, 14
2018-11-20 14:41:47 (3183373551225) STATS - SET, 2.3, 9
2018-11-20 14:41:47 (3183373637325) STATS - SET, 2.4, 13
2018-11-20 14:41:47 (3183373723725) STATS - SET, 2.5, 15
2018-11-20 14:41:47 (3183373859925) STATS - SET, 2.6, 18
2018-11-20 14:41:47 (3183373964425) STATS - SET, 2.7, 21
2018-11-20 14:41:47 (3183374056525) STATS - SET, 2.8, 9
2018-11-20 14:41:47 (3183374162325) STATS - SET, 2.9, 11
2018-11-20 14:41:47 (3183374311125) STATS - SET, 3.0, 11
2018-11-20 14:41:47 (3183374416025) STATS - SET, 3.1, 16
2018-11-20 14:41:47 (3183374513625) STATS - SET, 3.2, 18
2018-11-20 14:41:47 (3183374630225) STATS - SET, 3.3, 18
2018-11-20 14:41:47 (3183374789125) STATS - SET, 3.4, 11
2018-11-20 14:41:47 (3183374913125) STATS - SET, 3.5, 8
2018-11-20 14:41:47 (3183375004825) STATS - SET, 3.6, 12
2018-11-20 14:41:47 (3183375092425) STATS - SET, 3.7, 21
2018-11-20 14:41:47 (3183375210425) STATS - SET, 3.8, 31
2018-11-20 14:41:47 (3183382245626) STATS - SET, 3.9, 27
2018-11-20 14:41:47 (3183382396426) STATS - SET, 4.0, 33
2018-11-20 14:41:47 (3183382509926) STATS - SET, 4.1, 22
2018-11-20 14:41:47 (3183382635826) STATS - SET, 4.2, 29
2018-11-20 14:41:47 (3183382763026) STATS - SET, 4.3, 25
2018-11-20 14:41:47 (3183382877126) STATS - SET, 4.4, 19
2018-11-20 14:41:47 (3183383036026) STATS - SET, 4.5, 15
2018-11-20 14:41:47 (3183383180626) STATS - SET, 4.6, 15
2018-11-20 14:41:47 (3183383291426) STATS - SET, 4.7, 28
2018-11-20 14:41:47 (3183383393026) STATS - SET, 4.8, 27
2018-11-20 14:41:47 (3183383524826) STATS - SET, 4.9, 30
2018-11-20 14:41:47 (3183383610726) STATS - SET, 5.0, 27
2018-11-20 14:41:47 (3183383700726) STATS - SET, 5.1, 16
2018-11-20 14:41:47 (3183383818026) STATS - SET, 5.2, 13
2018-11-20 14:41:47 (3183383898126) STATS - SET, 5.3, 14
2018-11-20 14:41:47 (3183383976626) STATS - SET, 5.4, 22
2018-11-20 14:41:47 (3183384086326) STATS - SET, 5.5, 25
2018-11-20 14:41:47 (3183384169326) STATS - SET, 5.6, 17
2018-11-20 14:41:47 (3183384251426) STATS - SET, 5.7, 10
2018-11-20 14:41:47 (3183384345226) STATS - SET, 5.8, 23
2018-11-20 14:41:47 (3183384427726) STATS - SET, 5.9, 17
2018-11-20 14:41:47 (3183384529526) STATS - SET, 6.0, 21
2018-11-20 14:41:47 (3183384614026) STATS - SET, 6.1, 9
2018-11-20 14:41:47 (3183384691126) STATS - SET, 6.2, 26
2018-11-20 14:41:47 (3183384767526) STATS - SET, 6.3, 25
2018-11-20 14:41:47 (3183384867226) STATS - SET, 6.4, 26
2018-11-20 14:41:47 (3183384945226) STATS - SET, 6.5, 25
2018-11-20 14:41:47 (3183392022726) STATS - SET, 6.6, 19
2018-11-20 14:41:47 (3183392111126) STATS - SET, 6.7, 20
2018-11-20 14:41:47 (3183392188226) STATS - SET, 6.8, 16
2018-11-20 14:41:47 (3183392296726) STATS - SET, 6.9, 20
2018-11-20 14:41:47 (3183392419726) STATS - SET, 7.0, 18
2018-11-20 14:41:47 (3183392538926) STATS - SET, 7.1, 32
2018-11-20 14:41:47 (3183392631426) STATS - SET, 7.2, 25
2018-11-20 14:41:47 (3183392718626) STATS - SET, 7.3, 22
2018-11-20 14:41:47 (3183392796826) STATS - SET, 7.4, 21
2018-11-20 14:41:47 (3183392917426) STATS - SET, 7.5, 23
2018-11-20 14:41:47 (3183393026926) STATS - SET, 7.6, 16
2018-11-20 14:41:47 (3183393123026) STATS - SET, 7.7, 19
2018-11-20 14:41:47 (3183393242326) STATS - SET, 7.8, 28
2018-11-20 14:41:47 (3183393352426) STATS - SET, 7.9, 31
2018-11-20 14:41:47 (3183393475726) STATS - SET, 8.0, 28
2018-11-20 14:41:47 (3183393562826) STATS - SET, 8.1, 23
2018-11-20 14:41:47 (3183393647226) STATS - SET, 8.2, 28
2018-11-20 14:41:47 (3183393730726) STATS - SET, 8.3, 31
2018-11-20 14:41:47 (3183393815426) STATS - SET, 8.4, 27
2018-11-20 14:41:47 (3183393899226) STATS - SET, 8.5, 46
2018-11-20 14:41:47 (3183394026326) STATS - SET, 8.6, 39
2018-11-20 14:41:47 (3183394125326) STATS - SET, 8.7, 44
2018-11-20 14:41:47 (3183394210226) STATS - SET, 8.8, 65
2018-11-20 14:41:47 (3183394294426) STATS - SET, 8.9, 65
2018-11-20 14:41:47 (3183394388226) STATS - SET, 9.0, 57
2018-11-20 14:41:47 (3183394480826) STATS - SET, 9.1, 69
2018-11-20 14:41:47 (3183394563026) STATS - SET, 9.2, 100
2018-11-20 14:41:47 (3183394695626) STATS - SET, 9.3, 109
2018-11-20 14:41:47 (3183394789226) STATS - SET, 9.4, 142
