2018-10-21 19:28:14 (15361716607299) INFO  - START: Middleware listening on address 10.0.0.11:8888.
2018-10-21 19:29:35 (15442627885160) STATS -  5.00, 4889, 1, 0.545766, 1.409798, 2.073635, 0.000000, 2.073635, 0.000000, 0, 24445, 0, 1.00, 0.00, 0
2018-10-21 19:29:35 (15442864909806) STATS - 10.00, 5737, 1, 0.362278, 1.142552, 1.584659, 0.000000, 1.584659, 0.000000, 0, 28687, 0, 1.00, 0.00, 0
2018-10-21 19:29:36 (15442965301848) STATS - 15.00, 5659, 1, 0.376646, 1.215426, 1.666069, 0.000000, 1.666069, 0.000000, 0, 28298, 0, 1.00, 0.00, 0
2018-10-21 19:29:36 (15443062182087) STATS - 20.00, 5644, 1, 0.388979, 1.237542, 1.706108, 0.000000, 1.706108, 0.000000, 0, 28224, 0, 1.00, 0.00, 0
2018-10-21 19:29:36 (15443147043674) STATS - 25.00, 5736, 1, 0.363060, 1.224879, 1.663495, 0.000000, 1.663495, 0.000000, 0, 28684, 0, 1.00, 0.00, 0
2018-10-21 19:29:36 (15443228344757) STATS - 30.00, 5719, 1, 0.368298, 1.206338, 1.654709, 0.000000, 1.654709, 0.000000, 0, 28598, 0, 1.00, 0.00, 0
2018-10-21 19:29:36 (15443307188768) STATS - 35.00, 5913, 1, 0.348618, 1.156369, 1.591792, 0.000000, 1.591792, 0.000000, 0, 29566, 0, 1.00, 0.00, 0
2018-10-21 19:29:36 (15443377713735) STATS - 40.00, 5804, 1, 0.332395, 1.218992, 1.650712, 0.000000, 1.650712, 0.000000, 0, 29022, 0, 1.00, 0.00, 0
2018-10-21 19:29:36 (15443446259944) STATS - 45.00, 5831, 1, 0.339644, 1.222355, 1.635464, 0.000000, 1.635464, 0.000000, 0, 29156, 0, 1.00, 0.00, 0
2018-10-21 19:29:36 (15443506180300) STATS - 50.00, 5872, 1, 0.344827, 1.126345, 1.543836, 0.000000, 1.543836, 0.000000, 0, 29360, 0, 1.00, 0.00, 0
2018-10-21 19:29:36 (15443563642184) STATS - 55.00, 5574, 1, 0.384490, 1.238262, 1.717972, 0.000000, 1.717972, 0.000000, 0, 27874, 0, 1.00, 0.00, 0
2018-10-21 19:29:36 (15443612934728) STATS - 60.00, 5919, 1, 0.353196, 1.207721, 1.626996, 0.000000, 1.626996, 0.000000, 0, 29596, 0, 1.00, 0.00, 0
2018-10-21 19:29:36 (15443655797984) STATS - 65.00, 5747, 1, 0.343040, 1.186552, 1.617409, 0.000000, 1.617409, 0.000000, 0, 28735, 0, 1.00, 0.00, 0
2018-10-21 19:29:36 (15443694043905) STATS - 70.00, 5763, 1, 0.358355, 1.202914, 1.640376, 0.000000, 1.640376, 0.000000, 0, 28816, 0, 1.00, 0.00, 0
2018-10-21 19:29:36 (15443703235175) STATS - 70.00, 69, 0, 0.344717, 1.275718, 1.694587, 0.000000, 1.694587, 0.000000, 0, 345, 0, 1.00, 0.00, 0
2018-10-21 19:29:37 (15444052165101) STATS - Interval, Responses
2018-10-21 19:29:37 (15444052623514) STATS - 0.1, 0
2018-10-21 19:29:37 (15444052872121) STATS - 0.2, 0
2018-10-21 19:29:37 (15444053159730) STATS - 0.3, 0
2018-10-21 19:29:37 (15444053430138) STATS - 0.4, 341
2018-10-21 19:29:37 (15444053728946) STATS - 0.5, 4878
2018-10-21 19:29:37 (15444054001154) STATS - 0.6, 15986
2018-10-21 19:29:37 (15444054236061) STATS - 0.7, 27153
2018-10-21 19:29:37 (15444054501169) STATS - 0.8, 33214
2018-10-21 19:29:37 (15444054794678) STATS - 0.9, 34182
2018-10-21 19:29:37 (15444055057385) STATS - 1.0, 31978
2018-10-21 19:29:37 (15444055328993) STATS - 1.1, 28815
2018-10-21 19:29:37 (15444061117463) STATS - 1.2, 25915
2018-10-21 19:29:37 (15444061378271) STATS - 1.3, 23173
2018-10-21 19:29:37 (15444061665879) STATS - 1.4, 20858
2018-10-21 19:29:37 (15444061919886) STATS - 1.5, 18936
2018-10-21 19:29:37 (15444062166394) STATS - 1.6, 16516
2018-10-21 19:29:37 (15444062388300) STATS - 1.7, 14800
2018-10-21 19:29:37 (15444062635607) STATS - 1.8, 12702
2018-10-21 19:29:37 (15444062876215) STATS - 1.9, 10363
2018-10-21 19:29:37 (15444063125622) STATS - 2.0, 8587
2018-10-21 19:29:37 (15444063346828) STATS - 2.1, 7026
2018-10-21 19:29:37 (15444063561335) STATS - 2.2, 5791
2018-10-21 19:29:37 (15444063771841) STATS - 2.3, 4783
2018-10-21 19:29:37 (15444064038849) STATS - 2.4, 3802
2018-10-21 19:29:37 (15444064255255) STATS - 2.5, 3224
2018-10-21 19:29:37 (15444064496362) STATS - 2.6, 2668
2018-10-21 19:29:37 (15444070332933) STATS - 2.7, 2073
2018-10-21 19:29:37 (15444070557140) STATS - 2.8, 1987
2018-10-21 19:29:37 (15444070775446) STATS - 2.9, 1672
2018-10-21 19:29:37 (15444070980952) STATS - 3.0, 1425
2018-10-21 19:29:37 (15444071192458) STATS - 3.1, 1367
2018-10-21 19:29:37 (15444071404664) STATS - 3.2, 1101
2018-10-21 19:29:37 (15444071618971) STATS - 3.3, 1107
2018-10-21 19:29:37 (15444071829777) STATS - 3.4, 884
2018-10-21 19:29:37 (15444072061184) STATS - 3.5, 857
2018-10-21 19:29:37 (15444072282390) STATS - 3.6, 884
2018-10-21 19:29:37 (15444072568299) STATS - 3.7, 869
2018-10-21 19:29:37 (15444073052413) STATS - 3.8, 752
2018-10-21 19:29:37 (15444073298120) STATS - 3.9, 718
2018-10-21 19:29:37 (15444073519326) STATS - 4.0, 624
2018-10-21 19:29:37 (15444079552003) STATS - 4.1, 623
2018-10-21 19:29:37 (15444079825511) STATS - 4.2, 517
2018-10-21 19:29:37 (15444080082019) STATS - 4.3, 495
2018-10-21 19:29:37 (15444080296525) STATS - 4.4, 420
2018-10-21 19:29:37 (15444080574133) STATS - 4.5, 464
2018-10-21 19:29:37 (15444080787639) STATS - 4.6, 403
