2018-11-23 21:03:50 (12262404884001) INFO  - START: Middleware listening on address 10.0.0.4:8888.
2018-11-23 21:05:10 (12342977884691) STATS -  5.00, 2775, 2, 1.184091, 4.623557, 6.007181, 0.000000, 6.007181, 0.000000, 0, 13879, 0, 0.00, 0.00, 0
2018-11-23 21:05:10 (12343210180284) STATS - 10.00, 2948, 2, 0.703468, 5.115413, 5.903082, 0.000000, 5.903082, 0.000000, 0, 14740, 0, 0.00, 0.00, 0
2018-11-23 21:05:10 (12343261031355) STATS - 15.00, 2946, 2, 0.736131, 5.217079, 6.029946, 0.000000, 6.029946, 0.000000, 0, 14731, 0, 0.00, 0.00, 0
2018-11-23 21:05:10 (12343310645984) STATS - 20.00, 2934, 2, 0.689525, 5.247483, 6.015283, 0.000000, 6.015283, 0.000000, 0, 14673, 0, 0.00, 0.00, 0
2018-11-23 21:05:11 (12343357238507) STATS - 25.00, 2929, 2, 0.743686, 5.166884, 6.027272, 0.000000, 6.027272, 0.000000, 0, 14647, 0, 0.00, 0.00, 0
2018-11-23 21:05:11 (12343398275337) STATS - 30.00, 2937, 2, 0.665865, 5.314099, 6.060980, 0.000000, 6.060980, 0.000000, 0, 14686, 0, 0.00, 0.00, 0
2018-11-23 21:05:11 (12343439130360) STATS - 35.00, 2937, 1, 0.602605, 4.952609, 5.624350, 0.000000, 5.624350, 0.000000, 0, 14688, 0, 0.00, 0.00, 0
2018-11-23 21:05:11 (12343477867109) STATS - 40.00, 2946, 2, 0.675954, 5.268736, 6.013449, 0.000000, 6.013449, 0.000000, 0, 14732, 0, 0.00, 0.00, 0
2018-11-23 21:05:11 (12343519586563) STATS - 45.00, 2943, 2, 0.684149, 5.199077, 5.955279, 0.000000, 5.955279, 0.000000, 0, 14716, 0, 0.00, 0.00, 0
2018-11-23 21:05:11 (12343557257075) STATS - 50.00, 2952, 2, 0.644075, 5.258851, 5.969153, 0.000000, 5.969153, 0.000000, 0, 14761, 0, 0.00, 0.00, 0
2018-11-23 21:05:11 (12343587832340) STATS - 55.00, 2937, 1, 0.631986, 5.313049, 6.015757, 0.000000, 6.015757, 0.000000, 0, 14686, 0, 0.00, 0.00, 0
2018-11-23 21:05:11 (12343616890253) STATS - 60.00, 2955, 2, 0.702861, 5.082778, 5.880987, 0.000000, 5.880987, 0.000000, 0, 14778, 0, 0.00, 0.00, 0
2018-11-23 21:05:11 (12343638765615) STATS - 65.00, 2934, 1, 0.531864, 4.838126, 5.465756, 0.000000, 5.465756, 0.000000, 0, 14673, 0, 0.00, 0.00, 0
2018-11-23 21:05:11 (12343660089958) STATS - 70.00, 2940, 2, 0.758098, 5.058514, 5.896947, 0.000000, 5.896947, 0.000000, 0, 14700, 0, 0.00, 0.00, 0
2018-11-23 21:05:11 (12343668851463) STATS - 70.00, 83, 0, 0.217414, 1.433964, 1.698077, 0.000000, 1.698077, 0.000000, 0, 415, 0, 0.00, 0.00, 0
2018-11-23 21:05:11 (12344039477575) STATS - Type, Interval, Responses
2018-11-23 21:05:11 (12344252965312) STATS - GET, 0.1, 0
2018-11-23 21:05:11 (12344258744313) STATS - GET, 0.2, 0
2018-11-23 21:05:11 (12344258885718) STATS - GET, 0.3, 0
2018-11-23 21:05:11 (12344259026623) STATS - GET, 0.4, 84
2018-11-23 21:05:11 (12344259156328) STATS - GET, 0.5, 1713
2018-11-23 21:05:11 (12344259334934) STATS - GET, 0.6, 5175
2018-11-23 21:05:11 (12344259460138) STATS - GET, 0.7, 7495
2018-11-23 21:05:11 (12344259582343) STATS - GET, 0.8, 8579
2018-11-23 21:05:11 (12344259749348) STATS - GET, 0.9, 8568
2018-11-23 21:05:11 (12344259884353) STATS - GET, 1.0, 8286
2018-11-23 21:05:11 (12344260025458) STATS - GET, 1.1, 7730
2018-11-23 21:05:11 (12344260154163) STATS - GET, 1.2, 7335
2018-11-23 21:05:11 (12344260398871) STATS - GET, 1.3, 6647
2018-11-23 21:05:11 (12344260530476) STATS - GET, 1.4, 6001
2018-11-23 21:05:11 (12344260690681) STATS - GET, 1.5, 5072
2018-11-23 21:05:11 (12344260867687) STATS - GET, 1.6, 4342
2018-11-23 21:05:11 (12344261036993) STATS - GET, 1.7, 3939
2018-11-23 21:05:11 (12344261166298) STATS - GET, 1.8, 3114
2018-11-23 21:05:11 (12344261298302) STATS - GET, 1.9, 2540
2018-11-23 21:05:11 (12344261640214) STATS - GET, 2.0, 2080
2018-11-23 21:05:11 (12344261789019) STATS - GET, 2.1, 1568
2018-11-23 21:05:11 (12344261916124) STATS - GET, 2.2, 1448
2018-11-23 21:05:11 (12344262038028) STATS - GET, 2.3, 1117
2018-11-23 21:05:11 (12344262157732) STATS - GET, 2.4, 953
2018-11-23 21:05:11 (12344268147141) STATS - GET, 2.5, 800
2018-11-23 21:05:11 (12344268390949) STATS - GET, 2.6, 694
2018-11-23 21:05:11 (12344268527554) STATS - GET, 2.7, 626
2018-11-23 21:05:11 (12344268701460) STATS - GET, 2.8, 603
2018-11-23 21:05:11 (12344268822465) STATS - GET, 2.9, 576
2018-11-23 21:05:11 (12344269003071) STATS - GET, 3.0, 561
2018-11-23 21:05:11 (12344269129675) STATS - GET, 3.1, 538
2018-11-23 21:05:11 (12344269274480) STATS - GET, 3.2, 441
2018-11-23 21:05:11 (12344269391284) STATS - GET, 3.3, 470
2018-11-23 21:05:11 (12344269564090) STATS - GET, 3.4, 458
2018-11-23 21:05:11 (12344269754597) STATS - GET, 3.5, 476
2018-11-23 21:05:11 (12344269885602) STATS - GET, 3.6, 444
2018-11-23 21:05:11 (12344269998405) STATS - GET, 3.7, 434
2018-11-23 21:05:11 (12344270159311) STATS - GET, 3.8, 373
2018-11-23 21:05:11 (12344270282315) STATS - GET, 3.9, 383
2018-11-23 21:05:11 (12344270397319) STATS - GET, 4.0, 423
2018-11-23 21:05:11 (12344270653728) STATS - GET, 4.1, 439
2018-11-23 21:05:11 (12344270820334) STATS - GET, 4.2, 417
2018-11-23 21:05:11 (12344270949839) STATS - GET, 4.3, 379
2018-11-23 21:05:11 (12344271067643) STATS - GET, 4.4, 399
2018-11-23 21:05:11 (12344271220948) STATS - GET, 4.5, 387
2018-11-23 21:05:11 (12344271373553) STATS - GET, 4.6, 375
2018-11-23 21:05:11 (12344271530059) STATS - GET, 4.7, 417
2018-11-23 21:05:11 (12344271705565) STATS - GET, 4.8, 381
2018-11-23 21:05:11 (12344271891871) STATS - GET, 4.9, 314
2018-11-23 21:05:11 (12344272021176) STATS - GET, 5.0, 381
2018-11-23 21:05:11 (12344272144480) STATS - GET, 5.1, 364
2018-11-23 21:05:11 (12344277938582) STATS - GET, 5.2, 381
2018-11-23 21:05:11 (12344278059986) STATS - GET, 5.3, 395
2018-11-23 21:05:11 (12344278174190) STATS - GET, 5.4, 370
2018-11-23 21:05:11 (12344278294795) STATS - GET, 5.5, 380
2018-11-23 21:05:11 (12344278410199) STATS - GET, 5.6, 419
2018-11-23 21:05:11 (12344278523802) STATS - GET, 5.7, 459
2018-11-23 21:05:11 (12344278637106) STATS - GET, 5.8, 431
2018-11-23 21:05:11 (12344278763211) STATS - GET, 5.9, 457
2018-11-23 21:05:11 (12344278891615) STATS - GET, 6.0, 476
2018-11-23 21:05:11 (12344279009419) STATS - GET, 6.1, 516
2018-11-23 21:05:11 (12344279173325) STATS - GET, 6.2, 493
2018-11-23 21:05:11 (12344279288029) STATS - GET, 6.3, 563
2018-11-23 21:05:11 (12344279425634) STATS - GET, 6.4, 576
2018-11-23 21:05:11 (12344279537738) STATS - GET, 6.5, 620
2018-11-23 21:05:11 (12344279652042) STATS - GET, 6.6, 632
2018-11-23 21:05:11 (12344279762346) STATS - GET, 6.7, 702
2018-11-23 21:05:11 (12344279881050) STATS - GET, 6.8, 740
2018-11-23 21:05:11 (12344279998254) STATS - GET, 6.9, 805
2018-11-23 21:05:11 (12344280340466) STATS - GET, 7.0, 866
2018-11-23 21:05:11 (12344280461070) STATS - GET, 7.1, 961
2018-11-23 21:05:11 (12344280571574) STATS - GET, 7.2, 974
2018-11-23 21:05:11 (12344280716879) STATS - GET, 7.3, 1039
2018-11-23 21:05:11 (12344280843983) STATS - GET, 7.4, 1047
2018-11-23 21:05:11 (12344280959287) STATS - GET, 7.5, 1132
2018-11-23 21:05:11 (12344281069991) STATS - GET, 7.6, 1156
2018-11-23 21:05:11 (12344281231697) STATS - GET, 7.7, 1208
2018-11-23 21:05:11 (12344281343601) STATS - GET, 7.8, 1280
2018-11-23 21:05:11 (12344281494306) STATS - GET, 7.9, 1374
2018-11-23 21:05:11 (12344281614210) STATS - GET, 8.0, 1342
2018-11-23 21:05:11 (12344287427313) STATS - GET, 8.1, 1330
2018-11-23 21:05:11 (12344287583418) STATS - GET, 8.2, 1423
2018-11-23 21:05:11 (12344287697522) STATS - GET, 8.3, 1397
2018-11-23 21:05:11 (12344287815126) STATS - GET, 8.4, 1369
2018-11-23 21:05:11 (12344287926730) STATS - GET, 8.5, 1364
2018-11-23 21:05:11 (12344288139537) STATS - GET, 8.6, 1355
2018-11-23 21:05:11 (12344288274342) STATS - GET, 8.7, 1298
2018-11-23 21:05:11 (12344288390046) STATS - GET, 8.8, 1325
2018-11-23 21:05:11 (12344288510550) STATS - GET, 8.9, 1307
2018-11-23 21:05:11 (12344288622054) STATS - GET, 9.0, 1196
2018-11-23 21:05:11 (12344288735858) STATS - GET, 9.1, 1152
2018-11-23 21:05:11 (12344288918765) STATS - GET, 9.2, 1169
2018-11-23 21:05:11 (12344289044669) STATS - GET, 9.3, 1125
2018-11-23 21:05:11 (12344289160173) STATS - GET, 9.4, 1107
2018-11-23 21:05:11 (12344289275477) STATS - GET, 9.5, 1215
2018-11-23 21:05:11 (12344289385281) STATS - GET, 9.6, 1178
2018-11-23 21:05:11 (12344289539286) STATS - GET, 9.7, 1273
2018-11-23 21:05:11 (12344289676091) STATS - GET, 9.8, 1280
2018-11-23 21:05:11 (12344289976901) STATS - GET, 9.9, 1319
