Elapsed Time, AVG Throughput, AVG Queue Size, AVG Waiting Time, AVG Service Time, AVG Response Time, AVG SET Response Time, AVG GET Response Time, AVG MULTI-GET Response Time, #SETS, #GETS, #MULTIGETS, GET MissRatio, MULTI-GET MissRatio, AVG MULTI-GET Size
 5.00, 6964, 134, 18.545597, 1.709769, 20.401562, 20.401562, 0.000000, 0.000000, 34823, 0, 0, 0.00, 0.00, 0
10.00, 8451, 140, 16.966047, 1.523099, 18.619152, 18.619152, 0.000000, 0.000000, 42255, 0, 0, 0.00, 0.00, 0
15.00, 8584, 139, 16.571119, 1.512806, 18.200058, 18.200058, 0.000000, 0.000000, 42920, 0, 0, 0.00, 0.00, 0
20.00, 8494, 138, 16.682135, 1.554792, 18.355393, 18.355393, 0.000000, 0.000000, 42470, 0, 0, 0.00, 0.00, 0
25.00, 8497, 140, 16.861716, 1.545276, 18.519714, 18.519714, 0.000000, 0.000000, 42485, 0, 0, 0.00, 0.00, 0
30.00, 8376, 139, 17.118574, 1.577001, 18.807195, 18.807195, 0.000000, 0.000000, 41880, 0, 0, 0.00, 0.00, 0
35.00, 8539, 140, 16.825613, 1.526789, 18.476684, 18.476684, 0.000000, 0.000000, 42697, 0, 0, 0.00, 0.00, 0
40.00, 8392, 142, 17.294906, 1.581674, 18.986740, 18.986740, 0.000000, 0.000000, 41961, 0, 0, 0.00, 0.00, 0
45.00, 8327, 140, 17.389039, 1.574830, 19.088868, 19.088868, 0.000000, 0.000000, 41639, 0, 0, 0.00, 0.00, 0
50.00, 8135, 142, 17.899305, 1.655924, 19.661725, 19.661725, 0.000000, 0.000000, 40679, 0, 0, 0.00, 0.00, 0
55.00, 8187, 142, 17.752075, 1.621892, 19.489444, 19.489444, 0.000000, 0.000000, 40938, 0, 0, 0.00, 0.00, 0
60.00, 8190, 140, 17.484353, 1.623397, 19.235685, 19.235685, 0.000000, 0.000000, 40950, 0, 0, 0.00, 0.00, 0
65.00, 8397, 141, 17.141607, 1.582760, 18.832513, 18.832513, 0.000000, 0.000000, 41989, 0, 0, 0.00, 0.00, 0
70.00, 8505, 141, 16.906706, 1.550845, 18.556986, 18.556986, 0.000000, 0.000000, 42527, 0, 0, 0.00, 0.00, 0
71.00, 1346, 29, 4.231533, 1.281792, 5.639466, 5.639466, 0.000000, 0.000000, 6733, 0, 0, 0.00, 0.00, 0
Type, Interval, Responses
SET, 0.1, 0
SET, 0.2, 0
SET, 0.3, 0
SET, 0.4, 3
SET, 0.5, 16
SET, 0.6, 65
SET, 0.7, 92
SET, 0.8, 107
SET, 0.9, 92
SET, 1.0, 99
SET, 1.1, 106
SET, 1.2, 119
SET, 1.3, 125
SET, 1.4, 111
SET, 1.5, 129
SET, 1.6, 99
SET, 1.7, 112
SET, 1.8, 121
SET, 1.9, 115
SET, 2.0, 135
SET, 2.1, 136
SET, 2.2, 149
SET, 2.3, 139
SET, 2.4, 183
SET, 2.5, 189
SET, 2.6, 195
SET, 2.7, 158
SET, 2.8, 160
SET, 2.9, 175
SET, 3.0, 154
SET, 3.1, 161
SET, 3.2, 155
SET, 3.3, 162
SET, 3.4, 120
SET, 3.5, 110
SET, 3.6, 121
SET, 3.7, 120
SET, 3.8, 96
SET, 3.9, 79
SET, 4.0, 63
SET, 4.1, 67
SET, 4.2, 89
SET, 4.3, 88
SET, 4.4, 59
SET, 4.5, 77
SET, 4.6, 71
SET, 4.7, 82
SET, 4.8, 62
SET, 4.9, 69
SET, 5.0, 70
SET, 5.1, 76
SET, 5.2, 69
SET, 5.3, 81
SET, 5.4, 92
SET, 5.5, 90
SET, 5.6, 84
SET, 5.7, 109
SET, 5.8, 82
SET, 5.9, 110
SET, 6.0, 95
SET, 6.1, 97
SET, 6.2, 89
SET, 6.3, 96
SET, 6.4, 84
SET, 6.5, 96
SET, 6.6, 97
SET, 6.7, 115
SET, 6.8, 108
SET, 6.9, 98
SET, 7.0, 112
SET, 7.1, 113
SET, 7.2, 157
SET, 7.3, 150
SET, 7.4, 130
SET, 7.5, 157
SET, 7.6, 145
SET, 7.7, 153
SET, 7.8, 170
SET, 7.9, 167
SET, 8.0, 164
SET, 8.1, 183
SET, 8.2, 196
SET, 8.3, 194
SET, 8.4, 197
SET, 8.5, 195
SET, 8.6, 225
SET, 8.7, 268
SET, 8.8, 263
SET, 8.9, 263
SET, 9.0, 269
SET, 9.1, 283
SET, 9.2, 359
SET, 9.3, 415
SET, 9.4, 392
SET, 9.5, 400
SET, 9.6, 418
SET, 9.7, 483
SET, 9.8, 500
SET, 9.9, 548
SET, 10.0, 577
SET, 10.1, 595
SET, 10.2, 686
SET, 10.3, 750
SET, 10.4, 796
SET, 10.5, 883
SET, 10.6, 832
SET, 10.7, 962
SET, 10.8, 1004
SET, 10.9, 1063
SET, 11.0, 1128
SET, 11.1, 1177
SET, 11.2, 1192
SET, 11.3, 1264
SET, 11.4, 1421
SET, 11.5, 1419
SET, 11.6, 1468
SET, 11.7, 1548
SET, 11.8, 1623
SET, 11.9, 1713
SET, 12.0, 1784
SET, 12.1, 1851
SET, 12.2, 1971
SET, 12.3, 1975
SET, 12.4, 2036
SET, 12.5, 2227
SET, 12.6, 2299
SET, 12.7, 2319
SET, 12.8, 2396
SET, 12.9, 2497
SET, 13.0, 2403
SET, 13.1, 2600
SET, 13.2, 2655
SET, 13.3, 2629
SET, 13.4, 2760
SET, 13.5, 2798
SET, 13.6, 2746
SET, 13.7, 2863
SET, 13.8, 2991
SET, 13.9, 3073
SET, 14.0, 3099
SET, 14.1, 3131
SET, 14.2, 3290
SET, 14.3, 3292
SET, 14.4, 3531
SET, 14.5, 3357
SET, 14.6, 3487
SET, 14.7, 3474
SET, 14.8, 3567
SET, 14.9, 3703
SET, 15.0, 3812
SET, 15.1, 4001
SET, 15.2, 4093
SET, 15.3, 4111
SET, 15.4, 4232
SET, 15.5, 4244
SET, 15.6, 4360
SET, 15.7, 4359
SET, 15.8, 4537
SET, 15.9, 4654
SET, 16.0, 4580
SET, 16.1, 4692
SET, 16.2, 4644
SET, 16.3, 4848
SET, 16.4, 4887
SET, 16.5, 4988
SET, 16.6, 5038
SET, 16.7, 5045
SET, 16.8, 5037
SET, 16.9, 5218
SET, 17.0, 5182
SET, 17.1, 5339
SET, 17.2, 5298
SET, 17.3, 5472
SET, 17.4, 5391
SET, 17.5, 5454
SET, 17.6, 5401
SET, 17.7, 5418
SET, 17.8, 5484
SET, 17.9, 5516
SET, 18.0, 5616
SET, 18.1, 5564
SET, 18.2, 5479
SET, 18.3, 5506
SET, 18.4, 5605
SET, 18.5, 5375
SET, 18.6, 5310
SET, 18.7, 5412
SET, 18.8, 5380
SET, 18.9, 5385
SET, 19.0, 5407
SET, 19.1, 5496
SET, 19.2, 5284
SET, 19.3, 5317
SET, 19.4, 5388
SET, 19.5, 5408
SET, 19.6, 5245
SET, 19.7, 5191
SET, 19.8, 4980
SET, 19.9, 4921
SET, 20.0, 4882
SET, 20.1, 4762
SET, 20.2, 4701
SET, 20.3, 4647
SET, 20.4, 4671
SET, 20.5, 4545
SET, 20.6, 4557
SET, 20.7, 4413
SET, 20.8, 4237
SET, 20.9, 4476
SET, 21.0, 4332
SET, 21.1, 4193
SET, 21.2, 4304
SET, 21.3, 4122
SET, 21.4, 4209
SET, 21.5, 3992
SET, 21.6, 3865
SET, 21.7, 3847
SET, 21.8, 3917
SET, 21.9, 3838
SET, 22.0, 3761
SET, 22.1, 3582
SET, 22.2, 3642
SET, 22.3, 3562
SET, 22.4, 3482
SET, 22.5, 3373
SET, 22.6, 3355
SET, 22.7, 3037
SET, 22.8, 3108
SET, 22.9, 2959
SET, 23.0, 2945
SET, 23.1, 2852
