ratio,WTS,VCs,run,client,instance,Throughput (ops/s),ResponseTime (ms)
0:1,8,1,1,1,1,701.7,2.8454000000000006
0:1,8,1,1,2,1,724.32,2.7916000000000007
0:1,8,1,1,3,1,746.52,2.676999999999999
0:1,8,1,2,1,1,643.58,3.189400000000001
0:1,8,1,2,2,1,699.9,2.95
0:1,8,1,2,3,1,690.52,2.986
0:1,8,1,3,1,1,689.52,2.8989999999999996
0:1,8,1,3,2,1,757.26,2.6392
0:1,8,1,3,3,1,768.96,2.597799999999999
0:1,8,4,1,1,1,909.26,8.8406
0:1,8,4,1,2,1,986.64,8.145599999999998
0:1,8,4,1,3,1,996.08,8.077999999999998
0:1,8,4,2,1,1,953.44,8.545999999999998
0:1,8,4,2,2,1,954.8,8.612799999999998
0:1,8,4,2,3,1,948.84,8.467799999999999
0:1,8,4,3,1,1,928.4,8.6054
0:1,8,4,3,2,1,996.8,8.014
0:1,8,4,3,3,1,1008.78,7.920399999999997
0:1,8,8,1,1,1,981.1,16.2912
0:1,8,8,1,2,1,998.06,16.011400000000002
0:1,8,8,1,3,1,951.0,16.801799999999993
0:1,8,8,2,1,1,990.2,16.158799999999996
0:1,8,8,2,2,1,931.0,17.272799999999997
0:1,8,8,2,3,1,1008.42,15.864400000000005
0:1,8,8,3,1,1,979.24,16.318600000000007
0:1,8,8,3,2,1,993.42,16.090400000000002
0:1,8,8,3,3,1,953.78,16.752000000000002
0:1,8,16,1,1,1,966.6,33.1366
0:1,8,16,1,2,1,963.7,33.1738
0:1,8,16,1,3,1,973.62,32.86660000000001
0:1,8,16,2,1,1,982.42,32.570600000000006
0:1,8,16,2,2,1,955.18,33.692199999999985
0:1,8,16,2,3,1,992.98,32.22899999999999
0:1,8,16,3,1,1,968.54,33.005599999999994
0:1,8,16,3,2,1,972.98,32.85079999999999
0:1,8,16,3,3,1,982.92,32.51799999999999
0:1,8,24,1,1,1,977.32,49.06859999999999
0:1,8,24,1,2,1,976.7,49.10100000000001
0:1,8,24,1,3,1,981.38,48.85859999999999
0:1,8,24,2,1,1,978.2,49.025000000000006
0:1,8,24,2,2,1,971.66,49.3946
0:1,8,24,2,3,1,986.38,48.62620000000001
0:1,8,24,3,1,1,977.96,49.03
0:1,8,24,3,2,1,972.04,49.32660000000001
0:1,8,24,3,3,1,975.54,49.14900000000001
0:1,8,32,1,1,1,975.76,65.6158
0:1,8,32,1,2,1,974.92,65.65359999999998
0:1,8,32,1,3,1,977.64,65.462
0:1,8,32,2,1,1,980.58,65.19820000000001
0:1,8,32,2,2,1,974.36,65.61060000000002
0:1,8,32,2,3,1,979.86,65.24319999999999
0:1,8,32,3,1,1,974.2,65.6296
0:1,8,32,3,2,1,970.68,65.8592
0:1,8,32,3,3,1,977.84,65.37720000000002
0:1,16,1,1,1,1,651.8,3.1061999999999994
0:1,16,1,1,2,1,716.86,2.8269999999999995
0:1,16,1,1,3,1,712.62,2.8407999999999993
0:1,16,1,2,1,1,644.96,3.0972000000000004
0:1,16,1,2,2,1,676.78,2.9533999999999994
0:1,16,1,2,3,1,682.76,2.926399999999999
0:1,16,1,3,1,1,682.92,2.9224
0:1,16,1,3,2,1,717.4,2.7853999999999997
0:1,16,1,3,3,1,721.86,2.7653999999999996
