2018-11-20 21:29:28 (1759372422177) INFO  - START: Middleware listening on address 10.0.0.11:8888.
2018-11-20 21:30:53 (1843947727238) STATS -  5.00, 647, 0, 0.414409, 3.773454, 4.887193, 3.646756, 0.000000, 6.127630, 812, 0, 2426, 0.00, 0.00, 6
2018-11-20 21:30:53 (1843986770203) STATS - 10.00, 761, 0, 0.182607, 3.236807, 3.959486, 3.085584, 0.000000, 4.833387, 952, 0, 2857, 0.00, 0.00, 6
2018-11-20 21:30:53 (1844006724146) STATS - 15.00, 506, 0, 0.213259, 7.184626, 9.428615, 11.673953, 0.000000, 7.183277, 635, 0, 1899, 0.00, 0.00, 6
2018-11-20 21:30:53 (1844023704422) STATS - 20.00, 764, 0, 0.211258, 3.171398, 3.905427, 3.050323, 0.000000, 4.760532, 954, 0, 2870, 0.00, 0.00, 6
2018-11-20 21:30:53 (1844034605164) STATS - 25.00, 802, 0, 0.183816, 2.951490, 3.671159, 2.857354, 0.000000, 4.484965, 1003, 0, 3008, 0.00, 0.00, 6
2018-11-20 21:30:53 (1844045152898) STATS - 30.00, 792, 0, 0.188182, 3.081577, 3.786653, 2.905410, 0.000000, 4.667896, 990, 0, 2971, 0.00, 0.00, 6
2018-11-20 21:30:53 (1844054715310) STATS - 35.00, 786, 0, 0.185980, 3.080376, 3.792198, 2.960452, 0.000000, 4.623944, 984, 0, 2947, 0.00, 0.00, 6
2018-11-20 21:30:53 (1844064223220) STATS - 40.00, 746, 0, 0.192170, 3.316053, 3.995478, 3.076650, 0.000000, 4.914306, 933, 0, 2800, 0.00, 0.00, 6
2018-11-20 21:30:53 (1844073397324) STATS - 45.00, 747, 0, 0.240281, 3.302398, 4.072431, 3.206772, 0.000000, 4.938090, 933, 0, 2802, 0.00, 0.00, 6
2018-11-20 21:30:53 (1844082074216) STATS - 50.00, 766, 0, 0.204245, 3.122250, 3.832617, 2.859736, 0.000000, 4.805497, 957, 0, 2876, 0.00, 0.00, 6
2018-11-20 21:30:53 (1844090528504) STATS - 55.00, 765, 0, 0.190394, 3.204652, 3.873596, 2.958165, 0.000000, 4.789028, 958, 0, 2868, 0.00, 0.00, 6
2018-11-20 21:30:53 (1844093214263) STATS - 60.00, 760, 0, 0.189560, 3.224582, 3.905647, 3.046826, 0.000000, 4.764468, 951, 0, 2851, 0.00, 0.00, 6
2018-11-20 21:30:53 (1844101587149) STATS - 65.00, 766, 0, 0.190358, 3.188255, 3.898862, 3.040221, 0.000000, 4.757504, 957, 0, 2873, 0.00, 0.00, 6
2018-11-20 21:30:53 (1844103637694) STATS - 70.00, 770, 0, 0.149717, 3.197524, 3.800104, 2.895708, 0.000000, 4.704500, 961, 0, 2890, 0.00, 0.00, 6
2018-11-20 21:30:53 (1844110614849) STATS - 70.00, 10, 0, 0.120029, 2.965697, 3.934465, 3.056801, 0.000000, 4.812130, 15, 0, 39, 0.00, 0.00, 6
2018-11-20 21:30:53 (1844213273825) STATS - Type, Interval, Responses
2018-11-20 21:30:53 (1844253345313) STATS - SET, 0.1, 0
2018-11-20 21:30:53 (1844253544618) STATS - SET, 0.2, 0
2018-11-20 21:30:53 (1844253763723) STATS - SET, 0.3, 0
2018-11-20 21:30:53 (1844253903726) STATS - SET, 0.4, 0
2018-11-20 21:30:53 (1844254031628) STATS - SET, 0.5, 0
2018-11-20 21:30:53 (1844254196532) STATS - SET, 0.6, 0
2018-11-20 21:30:53 (1844254362136) STATS - SET, 0.7, 0
2018-11-20 21:30:53 (1844254487939) STATS - SET, 0.8, 1
2018-11-20 21:30:53 (1844254613641) STATS - SET, 0.9, 28
2018-11-20 21:30:53 (1844254784145) STATS - SET, 1.0, 110
2018-11-20 21:30:53 (1844254921948) STATS - SET, 1.1, 307
2018-11-20 21:30:53 (1844255042551) STATS - SET, 1.2, 492
2018-11-20 21:30:53 (1844255166754) STATS - SET, 1.3, 642
2018-11-20 21:30:53 (1844255290756) STATS - SET, 1.4, 801
2018-11-20 21:30:53 (1844261065584) STATS - SET, 1.5, 855
2018-11-20 21:30:53 (1844261242788) STATS - SET, 1.6, 779
2018-11-20 21:30:53 (1844261396792) STATS - SET, 1.7, 719
2018-11-20 21:30:53 (1844261519995) STATS - SET, 1.8, 615
2018-11-20 21:30:53 (1844262655120) STATS - SET, 1.9, 544
2018-11-20 21:30:53 (1844262777422) STATS - SET, 2.0, 458
2018-11-20 21:30:53 (1844262930826) STATS - SET, 2.1, 421
2018-11-20 21:30:53 (1844263222832) STATS - SET, 2.2, 341
2018-11-20 21:30:53 (1844263347735) STATS - SET, 2.3, 328
2018-11-20 21:30:53 (1844263464238) STATS - SET, 2.4, 314
2018-11-20 21:30:53 (1844263580340) STATS - SET, 2.5, 241
2018-11-20 21:30:53 (1844263741544) STATS - SET, 2.6, 200
2018-11-20 21:30:53 (1844263870347) STATS - SET, 2.7, 187
2018-11-20 21:30:53 (1844263987749) STATS - SET, 2.8, 149
2018-11-20 21:30:53 (1844264178553) STATS - SET, 2.9, 136
2018-11-20 21:30:53 (1844264332657) STATS - SET, 3.0, 125
2018-11-20 21:30:53 (1844264451059) STATS - SET, 3.1, 125
2018-11-20 21:30:53 (1844264565762) STATS - SET, 3.2, 123
2018-11-20 21:30:53 (1844264706065) STATS - SET, 3.3, 85
2018-11-20 21:30:53 (1844264840968) STATS - SET, 3.4, 106
2018-11-20 21:30:53 (1844264975171) STATS - SET, 3.5, 101
2018-11-20 21:30:53 (1844265227477) STATS - SET, 3.6, 99
2018-11-20 21:30:53 (1844265389180) STATS - SET, 3.7, 79
2018-11-20 21:30:53 (1844265507583) STATS - SET, 3.8, 61
2018-11-20 21:30:53 (1844265663086) STATS - SET, 3.9, 80
2018-11-20 21:30:53 (1844265780389) STATS - SET, 4.0, 80
2018-11-20 21:30:53 (1844265898192) STATS - SET, 4.1, 74
2018-11-20 21:30:53 (1844266013194) STATS - SET, 4.2, 78
