ratio,WTS,VCs,run,client,instance,Throughput (ops/s),ResponseTime (ms),25,50,75,90,99
1:1,64,2,1,1,1,403.17,4.51,1.90,2.90,6.90,8.20,15.00
1:1,64,2,1,1,2,413.89,4.36,1.90,2.80,6.20,7.40,13.00
1:1,64,2,1,2,1,512.48,3.55,1.30,1.90,6.00,7.30,13.00
1:1,64,2,1,2,2,539.47,3.21,1.30,1.80,5.20,6.50,11.83
1:1,64,2,1,3,1,454.19,4.10,1.70,2.30,6.60,7.80,14.00
1:1,64,2,1,3,2,473.68,3.78,1.70,2.20,5.80,7.00,12.00
1:1,64,2,2,1,1,275.23,5.12,1.90,2.80,6.80,8.20,16.00
1:1,64,2,2,1,2,300.67,5.96,1.80,2.70,6.20,7.60,15.00
1:1,64,2,2,2,1,504.63,3.63,1.40,1.90,6.00,7.40,13.00
1:1,64,2,2,2,2,568.74,3.15,1.30,1.70,5.00,6.50,12.00
1:1,64,2,2,3,1,449.43,4.06,1.70,2.30,6.50,7.70,13.00
1:1,64,2,2,3,2,495.02,3.71,1.60,2.20,5.70,6.90,12.00
1:1,64,2,3,1,1,422.19,4.48,1.90,2.90,6.90,8.20,14.00
1:1,64,2,3,1,2,418.45,4.35,1.90,2.90,6.40,7.80,14.00
1:1,64,2,3,2,1,518.80,3.52,1.40,1.90,5.90,7.40,13.00
1:1,64,2,3,2,2,533.04,3.29,1.30,1.80,5.30,6.70,12.00
1:1,64,2,3,3,1,459.57,4.04,1.70,2.30,6.50,7.80,14.00
1:1,64,2,3,3,2,462.34,3.90,1.70,2.30,6.00,7.30,13.00
1:3,64,2,1,1,1,369.67,5.17,2.50,3.60,7.60,9.00,16.00
1:3,64,2,1,1,2,402.00,4.86,2.50,3.50,6.90,8.50,15.00
1:3,64,2,1,2,1,434.31,4.50,1.90,2.80,7.00,8.40,15.00
1:3,64,2,1,2,2,466.50,4.24,2.00,2.70,6.40,8.00,14.00
1:3,64,2,1,3,1,386.22,5.11,2.30,3.50,7.50,9.00,16.00
1:3,64,2,1,3,2,419.74,4.69,2.30,3.20,6.80,8.30,14.00
1:3,64,2,2,1,1,365.94,5.29,2.50,3.80,7.60,9.30,16.00
1:3,64,2,2,1,2,389.45,5.01,2.60,3.80,7.00,8.50,14.00
1:3,64,2,2,2,1,431.20,4.57,2.00,2.90,7.10,8.60,15.00
1:3,64,2,2,2,2,467.80,4.23,2.00,2.80,6.40,7.80,13.00
1:3,64,2,2,3,1,388.57,4.95,2.30,3.30,7.40,8.80,15.00
1:3,64,2,2,3,2,414.86,4.75,2.40,3.30,6.80,8.30,14.00
1:3,64,2,3,1,1,373.04,5.27,2.50,4.00,7.60,9.00,16.00
