2018-11-14 18:10:46 (11093851331810) INFO  - START: Middleware listening on address 10.0.0.4:8888.
2018-11-14 18:12:11 (11179266899224) STATS -  5.00, 621, 0, 0.224995, 3.318142, 4.179828, 3.010561, 0.000000, 5.349096, 780, 0, 2329, 0.00, 0.00, 9
2018-11-14 18:12:11 (11179316161899) STATS - 10.00, 683, 0, 0.163584, 3.259309, 3.758914, 2.701687, 0.000000, 4.816140, 853, 0, 2564, 0.00, 0.00, 9
2018-11-14 18:12:11 (11179344833573) STATS - 15.00, 665, 0, 0.154638, 3.409186, 3.919817, 2.898687, 0.000000, 4.940947, 831, 0, 2498, 0.00, 0.00, 9
2018-11-14 18:12:11 (11179357014487) STATS - 20.00, 678, 0, 0.152688, 3.224260, 3.753848, 2.876516, 0.000000, 4.631180, 850, 0, 2543, 0.00, 0.00, 9
2018-11-14 18:12:11 (11179375361711) STATS - 25.00, 677, 0, 0.172459, 3.263066, 3.708327, 2.589649, 0.000000, 4.827005, 847, 0, 2540, 0.00, 0.00, 9
2018-11-14 18:12:11 (11179386741598) STATS - 30.00, 685, 0, 0.161541, 3.372149, 3.845739, 2.835920, 0.000000, 4.855557, 858, 0, 2570, 0.00, 0.00, 9
2018-11-14 18:12:11 (11179404668207) STATS - 35.00, 683, 0, 0.159675, 3.346689, 3.779035, 2.633112, 0.000000, 4.924958, 852, 0, 2563, 0.00, 0.00, 9
2018-11-14 18:12:11 (11179415761984) STATS - 40.00, 677, 0, 0.151526, 3.379391, 3.809036, 2.744862, 0.000000, 4.873209, 848, 0, 2539, 0.00, 0.00, 9
2018-11-14 18:12:11 (11179425976231) STATS - 45.00, 672, 0, 0.172656, 3.311315, 3.846658, 2.832347, 0.000000, 4.860970, 840, 0, 2522, 0.00, 0.00, 9
2018-11-14 18:12:11 (11179435827966) STATS - 50.00, 673, 0, 0.147384, 3.457871, 3.969150, 2.882124, 0.000000, 5.056177, 842, 0, 2524, 0.00, 0.00, 9
2018-11-14 18:12:11 (11179445492594) STATS - 55.00, 668, 0, 0.174967, 3.570214, 4.038339, 2.901419, 0.000000, 5.175260, 836, 0, 2506, 0.00, 0.00, 9
2018-11-14 18:12:11 (11179455026919) STATS - 60.00, 679, 0, 0.156076, 3.220504, 3.757552, 2.695777, 0.000000, 4.819327, 850, 0, 2545, 0.00, 0.00, 9
2018-11-14 18:12:11 (11179464548742) STATS - 65.00, 678, 0, 0.166611, 3.357481, 3.847163, 2.796151, 0.000000, 4.898175, 845, 0, 2545, 0.00, 0.00, 9
2018-11-14 18:12:11 (11179466363604) STATS - 70.00, 674, 0, 0.161736, 3.200329, 3.742556, 2.686943, 0.000000, 4.798169, 844, 0, 2530, 0.00, 0.00, 9
2018-11-14 18:12:11 (11179474395977) STATS - 70.00, 8, 0, 0.110820, 2.821375, 3.017392, 1.806143, 0.000000, 4.228641, 11, 0, 33, 0.00, 0.00, 9
2018-11-14 18:12:12 (11179700758771) STATS - Type, Interval, Responses
2018-11-14 18:12:12 (11179701175986) STATS - SET, 0.1, 0
2018-11-14 18:12:12 (11179701409493) STATS - SET, 0.2, 0
2018-11-14 18:12:12 (11179701584799) STATS - SET, 0.3, 0
2018-11-14 18:12:12 (11179701731104) STATS - SET, 0.4, 0
2018-11-14 18:12:12 (11179701905310) STATS - SET, 0.5, 0
2018-11-14 18:12:12 (11179702077116) STATS - SET, 0.6, 0
2018-11-14 18:12:12 (11179702230121) STATS - SET, 0.7, 0
2018-11-14 18:12:12 (11179702394427) STATS - SET, 0.8, 34
2018-11-14 18:12:12 (11179702554732) STATS - SET, 0.9, 107
2018-11-14 18:12:12 (11179702721738) STATS - SET, 1.0, 291
2018-11-14 18:12:12 (11179702864543) STATS - SET, 1.1, 513
2018-11-14 18:12:12 (11179703041549) STATS - SET, 1.2, 649
2018-11-14 18:12:12 (11179710101189) STATS - SET, 1.3, 876
2018-11-14 18:12:12 (11179710250694) STATS - SET, 1.4, 902
2018-11-14 18:12:12 (11179710383199) STATS - SET, 1.5, 791
2018-11-14 18:12:12 (11179710511703) STATS - SET, 1.6, 696
2018-11-14 18:12:12 (11179710637707) STATS - SET, 1.7, 609
2018-11-14 18:12:12 (11179710760711) STATS - SET, 1.8, 566
2018-11-14 18:12:12 (11179710884416) STATS - SET, 1.9, 468
2018-11-14 18:12:12 (11179711009020) STATS - SET, 2.0, 427
2018-11-14 18:12:12 (11179711161325) STATS - SET, 2.1, 326
2018-11-14 18:12:12 (11179711321230) STATS - SET, 2.2, 296
2018-11-14 18:12:12 (11179711493736) STATS - SET, 2.3, 212
2018-11-14 18:12:12 (11179711671542) STATS - SET, 2.4, 204
2018-11-14 18:12:12 (11179711868949) STATS - SET, 2.5, 213
2018-11-14 18:12:12 (11179712054155) STATS - SET, 2.6, 149
2018-11-14 18:12:12 (11179712250162) STATS - SET, 2.7, 154
2018-11-14 18:12:12 (11179712389067) STATS - SET, 2.8, 126
2018-11-14 18:12:12 (11179712553572) STATS - SET, 2.9, 129
2018-11-14 18:12:12 (11179712693177) STATS - SET, 3.0, 123
2018-11-14 18:12:12 (11179712849982) STATS - SET, 3.1, 98
2018-11-14 18:12:12 (11179719796819) STATS - SET, 3.2, 92
2018-11-14 18:12:12 (11179719953924) STATS - SET, 3.3, 85
2018-11-14 18:12:12 (11179720369038) STATS - SET, 3.4, 82
2018-11-14 18:12:12 (11179720559344) STATS - SET, 3.5, 82
2018-11-14 18:12:12 (11179720707549) STATS - SET, 3.6, 83
2018-11-14 18:12:12 (11179720868355) STATS - SET, 3.7, 56
2018-11-14 18:12:12 (11179721043161) STATS - SET, 3.8, 64
2018-11-14 18:12:12 (11179721183266) STATS - SET, 3.9, 44
2018-11-14 18:12:12 (11179721338871) STATS - SET, 4.0, 59
2018-11-14 18:12:12 (11179721474576) STATS - SET, 4.1, 75
2018-11-14 18:12:12 (11179721611780) STATS - SET, 4.2, 56
