Elapsed Time, AVG Throughput, AVG Queue Size, AVG Waiting Time, AVG Service Time, AVG Response Time, AVG SET Response Time, AVG GET Response Time, AVG MULTI-GET Response Time, #SETS, #GETS, #MULTIGETS, GET MissRatio, MULTI-GET MissRatio, AVG MULTI-GET Size
 5.00, 618, 0, 0.237292, 3.491226, 4.317409, 3.079403, 0.000000, 5.555415, 776, 0, 2318, 0.00, 0.00, 9
10.00, 654, 0, 0.182848, 3.580799, 4.172994, 3.082438, 0.000000, 5.263550, 817, 0, 2454, 0.00, 0.00, 9
15.00, 646, 0, 0.220038, 3.548725, 4.180207, 3.232689, 0.000000, 5.127724, 809, 0, 2424, 0.00, 0.00, 9
20.00, 651, 0, 0.214856, 3.527269, 4.171648, 3.180902, 0.000000, 5.162395, 814, 0, 2443, 0.00, 0.00, 9
25.00, 655, 0, 0.212904, 3.526647, 4.093316, 3.048916, 0.000000, 5.137716, 819, 0, 2456, 0.00, 0.00, 9
30.00, 636, 0, 0.209060, 3.807973, 4.347834, 3.279408, 0.000000, 5.416259, 795, 0, 2389, 0.00, 0.00, 9
35.00, 646, 0, 0.195573, 3.554956, 4.129431, 3.096152, 0.000000, 5.162711, 809, 0, 2423, 0.00, 0.00, 9
40.00, 652, 0, 0.195550, 3.548246, 4.108809, 3.129089, 0.000000, 5.088529, 816, 0, 2447, 0.00, 0.00, 9
45.00, 649, 0, 0.184557, 3.569768, 4.117092, 2.989823, 0.000000, 5.244362, 812, 0, 2435, 0.00, 0.00, 9
50.00, 649, 0, 0.200472, 3.519026, 4.150246, 3.106568, 0.000000, 5.193923, 813, 0, 2435, 0.00, 0.00, 9
55.00, 646, 0, 0.212545, 3.683569, 4.311083, 3.285729, 0.000000, 5.336436, 807, 0, 2426, 0.00, 0.00, 9
60.00, 640, 0, 0.190654, 3.801626, 4.375707, 3.261187, 0.000000, 5.490227, 801, 0, 2401, 0.00, 0.00, 9
65.00, 654, 0, 0.200594, 3.696964, 4.179177, 3.021343, 0.000000, 5.337011, 818, 0, 2453, 0.00, 0.00, 9
70.00, 650, 0, 0.228453, 3.571174, 4.168109, 3.121763, 0.000000, 5.214456, 812, 0, 2442, 0.00, 0.00, 9
70.00, 12, 0, 0.162987, 2.388762, 2.953017, 1.977145, 0.000000, 3.928889, 16, 0, 45, 0.00, 0.00, 9
Type, Interval, Responses
SET, 0.1, 0
SET, 0.2, 0
SET, 0.3, 0
SET, 0.4, 0
SET, 0.5, 0
SET, 0.6, 0
SET, 0.7, 0
SET, 0.8, 4
SET, 0.9, 31
SET, 1.0, 123
SET, 1.1, 288
SET, 1.2, 403
SET, 1.3, 617
SET, 1.4, 719
SET, 1.5, 743
SET, 1.6, 609
SET, 1.7, 631
SET, 1.8, 529
SET, 1.9, 480
SET, 2.0, 383
SET, 2.1, 389
SET, 2.2, 305
SET, 2.3, 248
SET, 2.4, 228
SET, 2.5, 204
SET, 2.6, 185
SET, 2.7, 167
SET, 2.8, 168
SET, 2.9, 181
SET, 3.0, 177
SET, 3.1, 134
SET, 3.2, 106
SET, 3.3, 116
SET, 3.4, 100
SET, 3.5, 85
SET, 3.6, 82
SET, 3.7, 77
SET, 3.8, 74
SET, 3.9, 52
SET, 4.0, 54
SET, 4.1, 52
SET, 4.2, 69
SET, 4.3, 61
SET, 4.4, 53
SET, 4.5, 62
SET, 4.6, 61
SET, 4.7, 65
SET, 4.8, 53
SET, 4.9, 54
SET, 5.0, 38
SET, 5.1, 40
SET, 5.2, 48
SET, 5.3, 35
SET, 5.4, 39
SET, 5.5, 48
SET, 5.6, 39
SET, 5.7, 46
SET, 5.8, 44
SET, 5.9, 44
SET, 6.0, 31
SET, 6.1, 37
SET, 6.2, 39
SET, 6.3, 23
SET, 6.4, 36
SET, 6.5, 47
SET, 6.6, 46
SET, 6.7, 39
SET, 6.8, 32
SET, 6.9, 33
SET, 7.0, 48
SET, 7.1, 48
SET, 7.2, 52
SET, 7.3, 43
SET, 7.4, 57
SET, 7.5, 44
SET, 7.6, 44
SET, 7.7, 47
SET, 7.8, 46
SET, 7.9, 40
SET, 8.0, 42
SET, 8.1, 34
SET, 8.2, 28
SET, 8.3, 30
SET, 8.4, 21
SET, 8.5, 20
SET, 8.6, 16
SET, 8.7, 16
SET, 8.8, 24
SET, 8.9, 20
SET, 9.0, 32
SET, 9.1, 32
SET, 9.2, 38
SET, 9.3, 56
SET, 9.4, 43
SET, 9.5, 44
SET, 9.6, 45
SET, 9.7, 33
SET, 9.8, 28
SET, 9.9, 38
SET, 10.0, 41
SET, 10.1, 17
SET, 10.2, 8
SET, 10.3, 9
SET, 10.4, 3
SET, 10.5, 7
SET, 10.6, 4
SET, 10.7, 2
SET, 10.8, 12
SET, 10.9, 2
SET, 11.0, 4
SET, 11.1, 5
SET, 11.2, 4
SET, 11.3, 9
SET, 11.4, 5
SET, 11.5, 6
SET, 11.6, 2
SET, 11.7, 4
SET, 11.8, 5
SET, 11.9, 3
SET, 12.0, 4
SET, 12.1, 1
SET, 12.2, 6
SET, 12.3, 2
SET, 12.4, 1
SET, 12.5, 3
SET, 12.6, 2
SET, 12.7, 1
SET, 12.8, 3
SET, 12.9, 2
SET, 13.0, 2
SET, 13.1, 3
SET, 13.2, 2
SET, 13.3, 0
SET, 13.4, 0
SET, 13.5, 1
SET, 13.6, 0
SET, 13.7, 0
SET, 13.8, 1
SET, 13.9, 1
SET, 14.0, 0
SET, 14.1, 0
SET, 14.2, 3
SET, 14.3, 0
SET, 14.4, 0
SET, 14.5, 0
SET, 14.6, 0
SET, 14.7, 0
SET, 14.8, 1
SET, 14.9, 1
SET, 15.0, 0
SET, 15.1, 0
SET, 15.2, 0
SET, 15.3, 0
SET, 15.4, 2
SET, 15.5, 1
SET, 15.6, 0
SET, 15.7, 2
SET, 15.8, 0
SET, 15.9, 1
SET, 16.0, 1
SET, 16.1, 0
SET, 16.2, 0
SET, 16.3, 1
SET, 16.4, 0
SET, 16.5, 0
SET, 16.6, 0
SET, 16.7, 0
SET, 16.8, 0
SET, 16.9, 0
SET, 17.0, 1
SET, 17.1, 1
SET, 17.2, 0
SET, 17.3, 0
SET, 17.4, 0
SET, 17.5, 0
SET, 17.6, 0
SET, 17.7, 1
SET, 17.8, 0
SET, 17.9, 0
SET, 18.0, 0
SET, 18.1, 0
SET, 18.2, 1
SET, 18.3, 0
SET, 18.4, 3
SET, 18.5, 3
SET, 18.6, 0
SET, 18.7, 0
SET, 18.8, 0
SET, 18.9, 0
SET, 19.0, 0
SET, 19.1, 0
SET, 19.2, 2
SET, 19.3, 0
SET, 19.4, 0
SET, 19.5, 0
SET, 19.6, 0
SET, 19.7, 0
SET, 19.8, 0
SET, 19.9, 0
SET, 20.0, 0
SET, 20.1, 0
SET, 20.2, 0
SET, 20.3, 2
SET, 20.4, 0
SET, 20.5, 0
SET, 20.6, 0
SET, 20.7, 0
SET, 20.8, 0
SET, 20.9, 0
SET, 21.0, 0
SET, 21.1, 0
SET, 21.2, 1
SET, 21.3, 1
SET, 21.4, 1
SET, 21.5, 0
SET, 21.6, 0
SET, 21.7, 0
SET, 21.8, 0
SET, 21.9, 0
SET, 22.0, 0
SET, 22.1, 0
SET, 22.2, 0
SET, 22.3, 0
SET, 22.4, 0
SET, 22.5, 0
SET, 22.6, 0
SET, 22.7, 0
SET, 22.8, 0
SET, 22.9, 0
SET, 23.0, 1
SET, 23.1, 0
SET, 23.2, 0
SET, 23.3, 0
SET, 23.4, 0
SET, 23.5, 0
SET, 23.6, 0
SET, 23.7, 0
SET, 23.8, 0
SET, 23.9, 0
SET, 24.0, 0
SET, 24.1, 0
SET, 24.2, 0
SET, 24.3, 0
SET, 24.4, 0
