2018-11-12 16:00:36 (2903756941586) INFO  - START: Middleware listening on address 10.0.0.11:8888.
2018-11-12 16:02:00 (2988043622693) STATS -  5.00, 5064, 23, 4.731900, 1.284957, 6.087131, 6.087131, 0.000000, 0.000000, 25320, 0, 0, 0.00, 0.00, 0
2018-11-12 16:02:00 (2988314243213) STATS - 10.00, 5831, 23, 4.067636, 1.153519, 5.286897, 5.286897, 0.000000, 0.000000, 29155, 0, 0, 0.00, 0.00, 0
2018-11-12 16:02:01 (2988438450919) STATS - 15.00, 5523, 23, 4.155557, 1.227724, 5.440642, 5.440642, 0.000000, 0.000000, 27619, 0, 0, 0.00, 0.00, 0
2018-11-12 16:02:01 (2988553404970) STATS - 20.00, 5922, 23, 3.892790, 1.133788, 5.086850, 5.086850, 0.000000, 0.000000, 29614, 0, 0, 0.00, 0.00, 0
2018-11-12 16:02:01 (2988657311119) STATS - 25.00, 5568, 23, 4.188483, 1.219375, 5.474424, 5.474424, 0.000000, 0.000000, 27842, 0, 0, 0.00, 0.00, 0
2018-11-12 16:02:01 (2988764672163) STATS - 30.00, 5678, 24, 4.195035, 1.193881, 5.449973, 5.449973, 0.000000, 0.000000, 28394, 0, 0, 0.00, 0.00, 0
2018-11-12 16:02:01 (2988860523090) STATS - 35.00, 5699, 24, 4.196038, 1.183877, 5.444364, 5.444364, 0.000000, 0.000000, 28496, 0, 0, 0.00, 0.00, 0
2018-11-12 16:02:01 (2988947834084) STATS - 40.00, 5729, 24, 4.205955, 1.176471, 5.440597, 5.440597, 0.000000, 0.000000, 28647, 0, 0, 0.00, 0.00, 0
2018-11-12 16:02:01 (2989027456367) STATS - 45.00, 5677, 24, 4.260965, 1.191689, 5.514641, 5.514641, 0.000000, 0.000000, 28386, 0, 0, 0.00, 0.00, 0
2018-11-12 16:02:01 (2989104480179) STATS - 50.00, 5733, 23, 4.071992, 1.149959, 5.282822, 5.282822, 0.000000, 0.000000, 28666, 0, 0, 0.00, 0.00, 0
2018-11-12 16:02:01 (2989171697522) STATS - 55.00, 5689, 23, 3.980262, 1.145970, 5.189813, 5.189813, 0.000000, 0.000000, 28446, 0, 0, 0.00, 0.00, 0
2018-11-12 16:02:01 (2989222623818) STATS - 60.00, 5687, 23, 3.977523, 1.143899, 5.180038, 5.180038, 0.000000, 0.000000, 28439, 0, 0, 0.00, 0.00, 0
2018-11-12 16:02:01 (2989271417756) STATS - 65.00, 5663, 24, 4.171825, 1.176844, 5.408793, 5.408793, 0.000000, 0.000000, 28317, 0, 0, 0.00, 0.00, 0
2018-11-12 16:02:01 (2989302036595) STATS - 70.00, 5653, 24, 4.236431, 1.172053, 5.473763, 5.473763, 0.000000, 0.000000, 28266, 0, 0, 0.00, 0.00, 0
2018-11-12 16:02:01 (2989318650951) STATS - 70.00, 154, 7, 1.449818, 1.124509, 2.720796, 2.720796, 0.000000, 0.000000, 770, 0, 0, 0.00, 0.00, 0
2018-11-12 16:02:02 (2989765552702) STATS - Interval, Responses
2018-11-12 16:02:02 (2989765961313) STATS - 0.1, 0
2018-11-12 16:02:02 (2989766129118) STATS - 0.2, 0
2018-11-12 16:02:02 (2989766307323) STATS - 0.3, 1
2018-11-12 16:02:02 (2989766462827) STATS - 0.4, 173
2018-11-12 16:02:02 (2989766638232) STATS - 0.5, 1107
2018-11-12 16:02:02 (2989766821537) STATS - 0.6, 2188
2018-11-12 16:02:02 (2989766989641) STATS - 0.7, 2686
2018-11-12 16:02:02 (2989767143146) STATS - 0.8, 2661
2018-11-12 16:02:02 (2989767362552) STATS - 0.9, 2665
2018-11-12 16:02:02 (2989767527456) STATS - 1.0, 2620
2018-11-12 16:02:02 (2989767710361) STATS - 1.1, 2880
2018-11-12 16:02:02 (2989774521648) STATS - 1.2, 2807
2018-11-12 16:02:02 (2989774718253) STATS - 1.3, 2864
2018-11-12 16:02:02 (2989774934159) STATS - 1.4, 3015
2018-11-12 16:02:02 (2989775119564) STATS - 1.5, 3079
2018-11-12 16:02:02 (2989775308170) STATS - 1.6, 3084
2018-11-12 16:02:02 (2989775480674) STATS - 1.7, 3198
2018-11-12 16:02:02 (2989775669279) STATS - 1.8, 3333
2018-11-12 16:02:02 (2989775870285) STATS - 1.9, 3517
2018-11-12 16:02:02 (2989776059590) STATS - 2.0, 3659
2018-11-12 16:02:02 (2989776227595) STATS - 2.1, 3683
2018-11-12 16:02:02 (2989776389099) STATS - 2.2, 3729
2018-11-12 16:02:02 (2989776563304) STATS - 2.3, 3887
2018-11-12 16:02:02 (2989776752009) STATS - 2.4, 3902
2018-11-12 16:02:02 (2989783983207) STATS - 2.5, 4053
2018-11-12 16:02:02 (2989784236414) STATS - 2.6, 4147
2018-11-12 16:02:02 (2989784446320) STATS - 2.7, 4311
2018-11-12 16:02:02 (2989784589624) STATS - 2.8, 4543
2018-11-12 16:02:02 (2989784772829) STATS - 2.9, 4693
2018-11-12 16:02:02 (2989784909633) STATS - 3.0, 4941
2018-11-12 16:02:02 (2989785048737) STATS - 3.1, 4889
2018-11-12 16:02:02 (2989785206541) STATS - 3.2, 5173
2018-11-12 16:02:02 (2989785348545) STATS - 3.3, 5391
2018-11-12 16:02:02 (2989785502649) STATS - 3.4, 5489
2018-11-12 16:02:02 (2989785659853) STATS - 3.5, 5582
2018-11-12 16:02:02 (2989785841058) STATS - 3.6, 5915
2018-11-12 16:02:02 (2989786037964) STATS - 3.7, 5821
2018-11-12 16:02:02 (2989786206868) STATS - 3.8, 5499
2018-11-12 16:02:02 (2989786346272) STATS - 3.9, 5268
2018-11-12 16:02:02 (2989786533177) STATS - 4.0, 5273
2018-11-12 16:02:02 (2989793286162) STATS - 4.1, 5288
2018-11-12 16:02:02 (2989793431966) STATS - 4.2, 5211
2018-11-12 16:02:02 (2989793622772) STATS - 4.3, 4871
2018-11-12 16:02:02 (2989793807077) STATS - 4.4, 4655
2018-11-12 16:02:02 (2989793998582) STATS - 4.5, 4626
