Elapsed Time, AVG Throughput, AVG Queue Size, AVG Waiting Time, AVG Service Time, AVG Response Time, AVG SET Response Time, AVG GET Response Time, AVG MULTI-GET Response Time, #SETS, #GETS, #MULTIGETS, GET MissRatio, MULTI-GET MissRatio, AVG MULTI-GET Size
 5.00, 3165, 28, 9.427419, 2.197287, 11.687531, 11.687531, 0.000000, 0.000000, 15829, 0, 0, 0.00, 0.00, 0
10.00, 3920, 28, 7.235115, 1.871659, 9.157936, 9.157936, 0.000000, 0.000000, 19601, 0, 0, 0.00, 0.00, 0
15.00, 3682, 28, 7.927633, 2.004330, 9.988179, 9.988179, 0.000000, 0.000000, 18412, 0, 0, 0.00, 0.00, 0
20.00, 3681, 29, 7.923901, 2.009183, 9.995020, 9.995020, 0.000000, 0.000000, 18405, 0, 0, 0.00, 0.00, 0
25.00, 3697, 29, 7.934643, 2.002879, 9.990975, 9.990975, 0.000000, 0.000000, 18487, 0, 0, 0.00, 0.00, 0
30.00, 3509, 29, 8.512600, 2.112344, 10.689437, 10.689437, 0.000000, 0.000000, 17546, 0, 0, 0.00, 0.00, 0
35.00, 3072, 32, 10.413629, 2.446160, 12.918343, 12.918343, 0.000000, 0.000000, 15361, 0, 0, 0.00, 0.00, 0
40.00, 3144, 32, 10.144597, 2.395553, 12.596965, 12.596965, 0.000000, 0.000000, 15723, 0, 0, 0.00, 0.00, 0
45.00, 3555, 30, 8.472582, 2.097279, 10.621420, 10.621420, 0.000000, 0.000000, 17775, 0, 0, 0.00, 0.00, 0
50.00, 3422, 29, 8.893585, 2.178233, 11.130877, 11.130877, 0.000000, 0.000000, 17114, 0, 0, 0.00, 0.00, 0
55.00, 3596, 29, 8.309670, 2.075724, 10.439166, 10.439166, 0.000000, 0.000000, 17982, 0, 0, 0.00, 0.00, 0
60.00, 3587, 29, 8.233796, 2.059507, 10.353372, 10.353372, 0.000000, 0.000000, 17935, 0, 0, 0.00, 0.00, 0
65.00, 3681, 29, 8.010198, 2.005540, 10.062310, 10.062310, 0.000000, 0.000000, 18407, 0, 0, 0.00, 0.00, 0
70.00, 3830, 28, 7.504741, 1.902221, 9.465076, 9.465076, 0.000000, 0.000000, 19154, 0, 0, 0.00, 0.00, 0
70.00, 74, 9, 3.421250, 2.095914, 5.710537, 5.710537, 0.000000, 0.000000, 374, 0, 0, 0.00, 0.00, 0
Interval, Responses
0.1, 0
0.2, 0
0.3, 0
0.4, 0
0.5, 1
0.6, 15
0.7, 75
0.8, 166
0.9, 233
1.0, 273
1.1, 257
1.2, 274
1.3, 238
1.4, 270
1.5, 284
1.6, 313
1.7, 375
1.8, 397
1.9, 485
2.0, 465
2.1, 474
2.2, 544
2.3, 550
2.4, 598
2.5, 605
2.6, 682
2.7, 658
2.8, 710
2.9, 721
3.0, 692
3.1, 718
3.2, 672
3.3, 776
3.4, 737
3.5, 766
3.6, 774
3.7, 894
3.8, 856
3.9, 855
4.0, 925
4.1, 892
4.2, 878
4.3, 1055
4.4, 941
4.5, 936
4.6, 990
4.7, 1029
4.8, 1002
4.9, 1079
5.0, 1032
5.1, 1082
5.2, 1160
5.3, 1120
5.4, 1214
5.5, 1179
5.6, 1213
5.7, 1218
5.8, 1332
5.9, 1285
6.0, 1340
6.1, 1316
6.2, 1421
6.3, 1496
6.4, 1485
6.5, 1529
6.6, 1533
6.7, 1596
6.8, 1641
6.9, 1624
7.0, 1769
7.1, 1678
7.2, 1651
7.3, 1747
7.4, 1694
7.5, 1820
7.6, 2009
7.7, 1878
7.8, 2027
7.9, 2122
8.0, 2191
8.1, 2203
8.2, 2194
8.3, 2190
8.4, 2263
8.5, 2295
8.6, 2350
8.7, 2380
8.8, 2473
8.9, 2484
9.0, 2497
9.1, 2346
9.2, 2445
9.3, 2402
9.4, 2532
9.5, 2550
9.6, 2739
9.7, 3082
9.8, 3520
9.9, 3289
10.0, 2661
10.1, 2433
10.2, 2455
10.3, 2663
10.4, 2577
10.5, 2486
10.6, 2429
10.7, 2394
10.8, 2479
10.9, 2263
11.0, 2112
11.1, 2175
11.2, 2087
11.3, 2109
11.4, 2024
11.5, 1950
11.6, 2002
11.7, 1988
11.8, 1940
11.9, 1959
12.0, 1812
12.1, 1919
12.2, 1849
12.3, 1756
12.4, 1662
12.5, 1672
12.6, 1570
12.7, 1572
12.8, 1466
12.9, 1513
13.0, 1525
13.1, 1390
13.2, 1415
13.3, 1445
13.4, 1395
13.5, 1321
13.6, 1314
13.7, 1353
13.8, 1321
13.9, 1336
14.0, 1255
14.1, 1209
14.2, 1122
14.3, 1133
14.4, 1136
14.5, 1159
14.6, 1123
14.7, 989
14.8, 1033
14.9, 1083
15.0, 979
15.1, 934
15.2, 1030
15.3, 944
15.4, 957
15.5, 925
15.6, 873
